Host Name,Number of Stars,Number of Planets,Radius (Thousands of Astronomical Units),Host (Galaxy),,,,,,,,,,,
Kepler-1702,1,1,82.138,Coma Pinwheel Galaxy,,,,,,,,,,,
Kepler-1704,1,1,290.483,Needle Galaxy,,,,,,,,,,,
Kepler-1705,1,2,173.403,Milky Way,,,,,,,,,,,
Kepler-1708,1,1,205.13,Condor Galaxy,,,,,,,,,,,
Kepler-1709,1,1,87.438,Knife Edge Galaxy,,,,,,,,,,,
Kepler-171,1,3,233.612,Hoag's Object,,,,,,,,,,,
Kepler-1710,1,1,240.094,Alcyoneus,,,,,,,,,,,
Kepler-1711,1,1,85.325,UFO Galaxy,,,,,,,,,,,
Kepler-1712,1,1,236.145,Fried Egg Galaxy,,,,,,,,,,,
Kepler-1713,1,1,120.867,Hoag's Object,,,,,,,,,,,
Kepler-1714,1,1,24.178,Fried Egg Galaxy,,,,,,,,,,,
Kepler-1715,1,1,94.394,Hidden Galaxy,,,,,,,,,,,
Kepler-1716,1,1,137.991,Bear Paw Galaxy,,,,,,,,,,,
Kepler-1717,1,1,268.72,Condor Galaxy,,,,,,,,,,,
Kepler-1718,1,1,18.107,Andromeda Galaxy,,,,,,,,,,,
Kepler-1719,1,1,147.766,Knife Edge Galaxy,,,,,,,,,,,
Kepler-172,1,4,261.939,Medusa Merger,,,,,,,,,,,
Kepler-1720,1,1,134.232,Spider Galaxy,,,,,,,,,,,
Kepler-1721,1,1,180.955,Fireworks Galaxy,,,,,,,,,,,
Kepler-1722,1,1,271.035,Coma Pinwheel Galaxy,,,,,,,,,,,
Kepler-1723,1,1,202.762,Fireworks Galaxy,,,,,,,,,,,
Kepler-1724,1,1,158.243,Dusty Hand Galaxy,,,,,,,,,,,
Kepler-1725,1,1,212.441,Meathook Galaxy,,,,,,,,,,,
Kepler-1726,1,1,268.594,Wolf-Lundmark-Melotte,,,,,,,,,,,
Kepler-1727,1,1,127.313,Circinus Galaxy,,,,,,,,,,,
Kepler-1728,1,1,240.887,Andromeda Galaxy,,,,,,,,,,,
Kepler-1729,1,1,231.448,Topsy Turvy Galaxy,,,,,,,,,,,
Kepler-173,1,2,69.401,Peekaboo Galaxy,,,,,,,,,,,
Kepler-1730,1,1,146.549,Sculptor Galaxy,,,,,,,,,,,
Kepler-1731,1,1,42.84,Cosmos Redshift 7,,,,,,,,,,,
Kepler-1732,1,1,23.458,Lindsay-Shapley Ring,,,,,,,,,,,
Kepler-1733,1,1,168.058,Hockey Stick Galaxies,,,,,,,,,,,
Kepler-1734,1,1,26.063,Blinking Galaxy,,,,,,,,,,,
Kepler-1735,1,1,21.596,Cocoon Galaxy,,,,,,,,,,,
Kepler-1736,1,1,196.216,Barnard's Galaxy,,,,,,,,,,,
Kepler-1737,1,1,165.627,Sculptor Dwarf Galaxy,,,,,,,,,,,
Kepler-1738,1,1,184.842,Eye of Sauron,,,,,,,,,,,
Kepler-1739,1,1,288.365,Malin 1,,,,,,,,,,,
Kepler-174,1,3,0.461,Barnard's Galaxy,,,,,,,,,,,
Kepler-1740,1,1,161.953,Cocoon Galaxy,,,,,,,,,,,
Kepler-1741,1,1,23.296,Large Magellanic Cloud,,,,,,,,,,,
Kepler-1742,1,1,188.081,Hidden Galaxy,,,,,,,,,,,
Kepler-1743,1,1,65.101,Medusa Merger,,,,,,,,,,,
Kepler-1744,1,1,222.936,Mayall's Object,,,,,,,,,,,
Kepler-1745,1,1,297.33,Dusty Hand Galaxy,,,,,,,,,,,
Kepler-1746,1,1,119.942,Porphyrion,,,,,,,,,,,
Kepler-1747,1,1,81.976,Cartwheel Galaxy,,,,,,,,,,,
Kepler-1748,1,1,130.494,Knife Edge Galaxy,,,,,,,,,,,
Kepler-1749,1,1,231.347,Wolf-Lundmark-Melotte,,,,,,,,,,,
Kepler-175,1,2,51.5,Medusa Merger,,,,,,,,,,,
Kepler-1750,1,1,255.689,Barnard's Galaxy,,,,,,,,,,,
Kepler-1751,1,1,188.086,Bear Paw Galaxy,,,,,,,,,,,
Kepler-1752,1,1,112.262,Starfish Galaxy,,,,,,,,,,,
Kepler-1753,1,1,273.636,Helix Galaxy,,,,,,,,,,,
Kepler-1754,1,1,289.256,Condor Galaxy,,,,,,,,,,,
Kepler-1755,1,1,76.076,Butterfly Galaxies,,,,,,,,,,,
Kepler-1756,1,1,244.441,Hidden Galaxy,,,,,,,,,,,
Kepler-1757,1,1,201.879,Southern Pinwheel Galaxy,,,,,,,,,,,
Kepler-1758,1,1,199.224,Bode's Galaxy,,,,,,,,,,,
Kepler-1759,1,1,260.787,Eye of Sauron,,,,,,,,,,,
Kepler-176,1,4,10.313,Wolf-Lundmark-Melotte,,,,,,,,,,,
Kepler-1760,1,1,22.683,Large Magellanic Cloud,,,,,,,,,,,
Kepler-1761,1,1,227.821,UFO Galaxy,,,,,,,,,,,
Kepler-1762,1,1,74.457,Malin 1,,,,,,,,,,,
Kepler-1763,1,1,75.967,Sunflower Galaxy,,,,,,,,,,,
Kepler-1764,1,1,220.131,Cosmos Redshift 7,,,,,,,,,,,
Kepler-1765,1,1,261.811,Triangulum Galaxy,,,,,,,,,,,
Kepler-1766,1,1,145.629,Porphyrion,,,,,,,,,,,
Kepler-1767,1,1,123.546,Medusa Merger,,,,,,,,,,,
Kepler-1768,1,1,164.4,Eye of Sauron,,,,,,,,,,,
Kepler-1769,1,1,249.006,Little Sombrero Galaxy,,,,,,,,,,,
Kepler-177,1,2,280.91,Fried Egg Galaxy,,,,,,,,,,,
Kepler-1770,1,1,173.095,Mayall's Object,,,,,,,,,,,
Kepler-1771,1,1,20.733,Cocoon Galaxy,,,,,,,,,,,
Kepler-1772,1,1,203.912,Needle Galaxy,,,,,,,,,,,
Kepler-1773,1,1,273.5,Grasshopper,,,,,,,,,,,
Kepler-1774,1,1,44.193,Barnard's Galaxy,,,,,,,,,,,
Kepler-1775,1,1,5.04,Cocoon Galaxy,,,,,,,,,,,
Kepler-1776,1,1,137.128,Butterfly Galaxies,,,,,,,,,,,
Kepler-1777,1,1,127.951,Whale Galaxy,,,,,,,,,,,
Kepler-1778,1,1,264.159,Godzilla Galaxy,,,,,,,,,,,
Kepler-1779,1,1,186.188,Backward Galaxy,,,,,,,,,,,
Kepler-178,1,3,195.609,Hockey Stick Galaxies,,,,,,,,,,,
Kepler-1780,1,1,95.987,Godzilla Galaxy,,,,,,,,,,,
Kepler-1781,1,1,299.201,Starfish Galaxy,,,,,,,,,,,
Kepler-1782,1,1,3.521,Cocoon Galaxy,,,,,,,,,,,
Kepler-1783,1,1,151.846,Malin 1,,,,,,,,,,,
Kepler-1784,1,1,292.978,Knife Edge Galaxy,,,,,,,,,,,
Kepler-1785,1,1,61.823,Antennae Galaxies,,,,,,,,,,,
Kepler-1786,1,1,41.479,Sculptor Galaxy,,,,,,,,,,,
Kepler-1787,1,1,174.597,Coma Pinwheel Galaxy,,,,,,,,,,,
Kepler-1788,1,1,55.15,Malin 1,,,,,,,,,,,
Kepler-1789,1,1,89.631,Meathook Galaxy,,,,,,,,,,,
Kepler-179,1,2,253.179,Helix Galaxy,,,,,,,,,,,
Kepler-1790,1,1,24.909,Black Eye Galaxy,,,,,,,,,,,
Kepler-1791,1,1,293.524,Hidden Galaxy,,,,,,,,,,,
Kepler-1792,1,1,39.671,Mice Galaxies,,,,,,,,,,,
Kepler-1793,1,1,256.973,Fireworks Galaxy,,,,,,,,,,,
Kepler-1794,1,1,212.707,Cigar Galaxy,,,,,,,,,,,
Kepler-1795,1,1,124.562,Sombrero Galaxy,,,,,,,,,,,
Kepler-1796,1,1,257.184,Skyrocket Galaxy,,,,,,,,,,,
Kepler-1797,1,1,257.558,Black Eye Galaxy,,,,,,,,,,,
Kepler-1798,1,1,208.947,Hockey Stick Galaxies,,,,,,,,,,,
Kepler-1799,1,1,74.719,Triangulum Galaxy,,,,,,,,,,,
Kepler-18,1,3,9.685,Black Eye Galaxy,,,,,,,,,,,
Kepler-180,1,2,104.894,Andromeda Galaxy,,,,,,,,,,,
Kepler-1800,1,1,273.772,Eye of God,,,,,,,,,,,
Kepler-1801,1,2,56.962,Fireworks Galaxy,,,,,,,,,,,
Kepler-1802,1,2,114.415,Whirlpool Galaxy,,,,,,,,,,,
Kepler-1804,1,1,242.198,Coma Pinwheel Galaxy,,,,,,,,,,,
Kepler-1805,1,1,243.489,Eye of God,,,,,,,,,,,
Kepler-1806,1,1,198.622,Cartwheel Galaxy,,,,,,,,,,,
Kepler-1807,1,1,44.497,Coma Pinwheel Galaxy,,,,,,,,,,,
Kepler-1808,1,1,91.972,Pinwheel Galaxy,,,,,,,,,,,
Kepler-1809,1,1,261.903,UFO Galaxy,,,,,,,,,,,
Kepler-181,1,2,207.815,Barnard's Galaxy,,,,,,,,,,,
Kepler-1810,1,1,55.482,Little Sombrero Galaxy,,,,,,,,,,,
Kepler-1811,1,1,132.304,Cartwheel Galaxy,,,,,,,,,,,
Kepler-1812,1,1,279.348,Backward Galaxy,,,,,,,,,,,
Kepler-1813,1,1,60.553,Knife Edge Galaxy,,,,,,,,,,,
Kepler-1814,1,2,34.437,Meathook Galaxy,,,,,,,,,,,
Kepler-1815,1,1,279.135,Cocoon Galaxy,,,,,,,,,,,
Kepler-1816,1,1,97.435,Hidden Galaxy,,,,,,,,,,,
Kepler-1817,1,1,119.795,Milky Way,,,,,,,,,,,
Kepler-1818,1,1,107.256,Topsy Turvy Galaxy,,,,,,,,,,,
Kepler-1819,1,1,102.456,Cosmos Redshift 7,,,,,,,,,,,
Kepler-182,1,2,99.564,Tadpole Galaxy,,,,,,,,,,,
Kepler-1820,1,1,252.431,Triangulum Galaxy,,,,,,,,,,,
Kepler-1821,1,1,152.745,Knife Edge Galaxy,,,,,,,,,,,
Kepler-1822,1,1,233.199,Knife Edge Galaxy,,,,,,,,,,,
Kepler-1823,1,1,175.376,Antennae Galaxies,,,,,,,,,,,
Kepler-1824,1,1,215.607,Porpoise Galaxy,,,,,,,,,,,
Kepler-1825,1,1,235.381,Condor Galaxy,,,,,,,,,,,
Kepler-1826,1,1,50.41,Black Eye Galaxy,,,,,,,,,,,
Kepler-1827,1,1,216.47,Antennae Galaxies,,,,,,,,,,,
Kepler-1828,1,1,137.74,Sunflower Galaxy,,,,,,,,,,,
Kepler-1829,1,1,254.757,Triangulum Galaxy,,,,,,,,,,,
Kepler-183,1,2,129.472,Cigar Galaxy,,,,,,,,,,,
Kepler-1830,1,1,75.481,Grasshopper,,,,,,,,,,,
Kepler-1831,1,1,51.05,Porpoise Galaxy,,,,,,,,,,,
Kepler-1832,1,1,269.402,Condor Galaxy,,,,,,,,,,,
Kepler-1833,1,1,15.659,Hoag's Object,,,,,,,,,,,
Kepler-1834,1,2,222.661,Medusa Merger,,,,,,,,,,,
Kepler-1835,1,1,51.829,Peekaboo Galaxy,,,,,,,,,,,
Kepler-1836,1,1,56.772,Porphyrion,,,,,,,,,,,
Kepler-1837,1,1,147.336,Spiderweb Galaxy,,,,,,,,,,,
Kepler-1838,1,1,165.195,Black Eye Galaxy,,,,,,,,,,,
Kepler-1839,1,1,116.221,Condor Galaxy,,,,,,,,,,,
Kepler-184,1,3,102.583,Whale Galaxy,,,,,,,,,,,
Kepler-1840,1,1,260.75,Pinwheel Galaxy,,,,,,,,,,,
Kepler-1841,1,1,244.817,Backward Galaxy,,,,,,,,,,,
Kepler-1842,1,1,79.362,Porpoise Galaxy,,,,,,,,,,,
Kepler-1843,1,1,139.911,Blinking Galaxy,,,,,,,,,,,
Kepler-1844,1,1,250.121,Mice Galaxies,,,,,,,,,,,
Kepler-1845,1,1,16.026,Bode's Galaxy,,,,,,,,,,,
Kepler-1846,1,1,177.295,Bear Paw Galaxy,,,,,,,,,,,
Kepler-1847,1,1,134.789,Whirlpool Galaxy,,,,,,,,,,,
Kepler-1848,1,1,39.369,Circinus Galaxy,,,,,,,,,,,
Kepler-1849,1,1,117.616,Mayall's Object,,,,,,,,,,,
Kepler-185,1,2,197.953,Sombrero Galaxy,,,,,,,,,,,
Kepler-1850,1,1,100.21,Knife Edge Galaxy,,,,,,,,,,,
Kepler-1851,1,1,251.373,Porphyrion,,,,,,,,,,,
Kepler-1852,1,1,255.091,Butterfly Galaxies,,,,,,,,,,,
Kepler-1853,1,1,77.416,Dusty Hand Galaxy,,,,,,,,,,,
Kepler-1854,1,1,190.193,Spiderweb Galaxy,,,,,,,,,,,
Kepler-1855,1,1,132.49,Helix Galaxy,,,,,,,,,,,
Kepler-1856,1,1,162.796,Black Eye Galaxy,,,,,,,,,,,
Kepler-1857,1,1,126.321,Hoag's Object,,,,,,,,,,,
Kepler-1858,1,1,24.904,Little Sombrero Galaxy,,,,,,,,,,,
Kepler-1859,1,2,174.555,Blinking Galaxy,,,,,,,,,,,
Kepler-186,1,5,88.146,Lindsay-Shapley Ring,,,,,,,,,,,
Kepler-1860,1,1,151.7,Bode's Galaxy,,,,,,,,,,,
Kepler-1861,1,1,11.703,Fried Egg Galaxy,,,,,,,,,,,
Kepler-1862,1,1,41.157,Spiderweb Galaxy,,,,,,,,,,,
Kepler-1863,1,1,209.465,Helix Galaxy,,,,,,,,,,,
Kepler-1864,1,1,230.418,Comet Galaxy,,,,,,,,,,,
Kepler-1865,1,1,272.626,Sombrero Galaxy,,,,,,,,,,,
Kepler-1866,1,1,94.597,Malin 1,,,,,,,,,,,
Kepler-1867,1,1,18.834,Alcyoneus,,,,,,,,,,,
Kepler-1868,1,1,113.27,Knife Edge Galaxy,,,,,,,,,,,
Kepler-1869,1,2,76.545,Mayall's Object,,,,,,,,,,,
Kepler-187,1,2,275.198,Small Magellanic Cloud,,,,,,,,,,,
Kepler-1870,1,1,126.464,Comet Galaxy,,,,,,,,,,,
Kepler-1871,1,1,200.715,Circinus Galaxy,,,,,,,,,,,
Kepler-1872,1,1,178.402,Coma Pinwheel Galaxy,,,,,,,,,,,
Kepler-1873,1,1,92.06,Backward Galaxy,,,,,,,,,,,
Kepler-1874,1,1,285.603,Antennae Galaxies,,,,,,,,,,,
Kepler-1875,1,1,28.646,Eye of Sauron,,,,,,,,,,,
Kepler-1876,1,1,57.977,Medusa Merger,,,,,,,,,,,
Kepler-1877,1,1,278.074,UFO Galaxy,,,,,,,,,,,
Kepler-1878,1,1,97.417,Mayall's Object,,,,,,,,,,,
Kepler-1879,1,1,49.512,Pinwheel Galaxy,,,,,,,,,,,
Kepler-188,1,2,263.465,Andromeda Galaxy,,,,,,,,,,,
Kepler-1880,1,1,149.975,Antennae Galaxies,,,,,,,,,,,
Kepler-1881,1,1,167.874,Comet Galaxy,,,,,,,,,,,
Kepler-1882,1,1,191.203,Whale Galaxy,,,,,,,,,,,
Kepler-1883,1,1,231.835,Comet Galaxy,,,,,,,,,,,
Kepler-1884,1,1,77.402,Black Eye Galaxy,,,,,,,,,,,
Kepler-1885,1,1,49.49,Butterfly Galaxies,,,,,,,,,,,
Kepler-1886,1,1,246.999,Sombrero Galaxy,,,,,,,,,,,
Kepler-1887,1,1,172.605,Paramecium Galaxy,,,,,,,,,,,
Kepler-1888,1,1,211.045,Malin 1,,,,,,,,,,,
Kepler-1889,1,1,74.653,Peekaboo Galaxy,,,,,,,,,,,
Kepler-189,1,2,134.609,Mice Galaxies,,,,,,,,,,,
Kepler-1890,1,1,62.731,Bear Paw Galaxy,,,,,,,,,,,
Kepler-1891,1,1,225.186,Coma Pinwheel Galaxy,,,,,,,,,,,
Kepler-1892,1,1,262.165,Helix Galaxy,,,,,,,,,,,
Kepler-1893,1,1,254.201,Andromeda Galaxy,,,,,,,,,,,
Kepler-1894,1,2,292.612,Southern Pinwheel Galaxy,,,,,,,,,,,
Kepler-1895,1,1,230.695,Needle Galaxy,,,,,,,,,,,
Kepler-1896,1,1,156.194,Porpoise Galaxy,,,,,,,,,,,
Kepler-1897,1,1,67.679,Backward Galaxy,,,,,,,,,,,
Kepler-1898,1,1,32.107,Cocoon Galaxy,,,,,,,,,,,
Kepler-1899,1,1,260.813,Small Magellanic Cloud,,,,,,,,,,,
Kepler-19,1,3,163.964,Godzilla Galaxy,,,,,,,,,,,
Kepler-190,1,2,121.136,Dusty Hand Galaxy,,,,,,,,,,,
Kepler-1900,1,1,55.373,Porpoise Galaxy,,,,,,,,,,,
Kepler-1901,1,1,159.316,Cocoon Galaxy,,,,,,,,,,,
Kepler-1902,1,1,66.535,Helix Galaxy,,,,,,,,,,,
Kepler-1903,1,1,87.819,Skyrocket Galaxy,,,,,,,,,,,
Kepler-1904,1,1,265.373,Coma Pinwheel Galaxy,,,,,,,,,,,
Kepler-1905,1,1,239.627,Fireworks Galaxy,,,,,,,,,,,
Kepler-1906,1,1,26.517,Eye of Sauron,,,,,,,,,,,
Kepler-1907,1,2,244.469,Alcyoneus,,,,,,,,,,,
Kepler-1909,1,1,21.006,Eye of God,,,,,,,,,,,
Kepler-191,1,3,63.769,Knife Edge Galaxy,,,,,,,,,,,
Kepler-1910,1,1,172.755,Knife Edge Galaxy,,,,,,,,,,,
Kepler-1911,1,1,295.61,Sculptor Dwarf Galaxy,,,,,,,,,,,
Kepler-1912,1,1,299.351,Condor Galaxy,,,,,,,,,,,
Kepler-1913,1,1,0.691,Butterfly Galaxies,,,,,,,,,,,
Kepler-1914,1,1,63.977,Helix Galaxy,,,,,,,,,,,
Kepler-1915,1,1,36.966,Dusty Hand Galaxy,,,,,,,,,,,
Kepler-1916,1,1,67.862,Knife Edge Galaxy,,,,,,,,,,,
Kepler-1917,1,1,199.186,Grasshopper,,,,,,,,,,,
Kepler-1918,1,1,77.23,Backward Galaxy,,,,,,,,,,,
Kepler-1919,1,1,123.63,Knife Edge Galaxy,,,,,,,,,,,
Kepler-192,1,3,5.536,Eye of Sauron,,,,,,,,,,,
Kepler-1920,1,1,68.919,Southern Pinwheel Galaxy,,,,,,,,,,,
Kepler-1921,1,2,61.75,Black Eye Galaxy,,,,,,,,,,,
Kepler-1922,1,1,129.242,Mayall's Object,,,,,,,,,,,
Kepler-1923,1,1,173.657,Medusa Merger,,,,,,,,,,,
Kepler-1924,1,1,201.902,Medusa Merger,,,,,,,,,,,
Kepler-1925,1,1,244.692,Porphyrion,,,,,,,,,,,
Kepler-1926,1,1,226.487,Eye of God,,,,,,,,,,,
Kepler-1927,1,1,144.951,Antennae Galaxies,,,,,,,,,,,
Kepler-1928,1,1,137.402,Eye of Sauron,,,,,,,,,,,
Kepler-1929,1,1,184.927,Large Magellanic Cloud,,,,,,,,,,,
Kepler-193,1,2,199.435,Spider Galaxy,,,,,,,,,,,
Kepler-1930,1,1,270.489,Coma Pinwheel Galaxy,,,,,,,,,,,
Kepler-1931,1,1,57.188,Bear Paw Galaxy,,,,,,,,,,,
Kepler-1932,1,1,163.077,Medusa Merger,,,,,,,,,,,
Kepler-1933,1,1,242.461,Peekaboo Galaxy,,,,,,,,,,,
Kepler-1934,1,1,267.961,Dusty Hand Galaxy,,,,,,,,,,,
Kepler-1935,1,1,224.853,Backward Galaxy,,,,,,,,,,,
Kepler-1936,1,1,102.438,Hockey Stick Galaxies,,,,,,,,,,,
Kepler-1937,1,1,243.242,Malin 1,,,,,,,,,,,
Kepler-1938,1,1,30.792,UFO Galaxy,,,,,,,,,,,
Kepler-1939,1,1,141.506,Southern Pinwheel Galaxy,,,,,,,,,,,
Kepler-194,1,3,57.167,Grasshopper,,,,,,,,,,,
Kepler-1940,1,1,192.363,Coma Pinwheel Galaxy,,,,,,,,,,,
Kepler-1941,1,1,91.649,Peekaboo Galaxy,,,,,,,,,,,
Kepler-1942,1,1,241.517,Black Eye Galaxy,,,,,,,,,,,
Kepler-1943,1,1,134.347,Cartwheel Galaxy,,,,,,,,,,,
Kepler-1944,1,1,119.851,Bear Paw Galaxy,,,,,,,,,,,
Kepler-1945,1,1,204.732,Medusa Merger,,,,,,,,,,,
Kepler-1946,1,1,156.518,Eye of God,,,,,,,,,,,
Kepler-1947,1,1,6.808,Hoag's Object,,,,,,,,,,,
Kepler-1948,1,1,88.978,Paramecium Galaxy,,,,,,,,,,,
Kepler-1949,1,1,295.191,Hidden Galaxy,,,,,,,,,,,
Kepler-195,1,2,188.882,Cigar Galaxy,,,,,,,,,,,
Kepler-1950,1,1,298.985,Little Sombrero Galaxy,,,,,,,,,,,
Kepler-1951,1,1,199.64,Medusa Merger,,,,,,,,,,,
Kepler-1952,1,1,241.875,Alcyoneus,,,,,,,,,,,
Kepler-1953,1,1,27.269,Dusty Hand Galaxy,,,,,,,,,,,
Kepler-1954,1,1,99.329,Helix Galaxy,,,,,,,,,,,
Kepler-1955,1,1,297.718,Bear Paw Galaxy,,,,,,,,,,,
Kepler-1956,1,1,110.989,Large Magellanic Cloud,,,,,,,,,,,
Kepler-1957,1,1,4.191,Lindsay-Shapley Ring,,,,,,,,,,,
Kepler-1958,1,1,119.491,Barnard's Galaxy,,,,,,,,,,,
Kepler-1959,1,1,47.603,Hidden Galaxy,,,,,,,,,,,
Kepler-196,1,3,6.058,Little Sombrero Galaxy,,,,,,,,,,,
Kepler-1960,1,1,111.675,Cosmos Redshift 7,,,,,,,,,,,
Kepler-1961,1,1,283.926,Godzilla Galaxy,,,,,,,,,,,
Kepler-1962,1,1,193.604,Meathook Galaxy,,,,,,,,,,,
Kepler-1963,1,1,231.382,Meathook Galaxy,,,,,,,,,,,
Kepler-1964,1,1,99.756,Whale Galaxy,,,,,,,,,,,
Kepler-1965,1,1,172.49,Hidden Galaxy,,,,,,,,,,,
Kepler-1966,1,1,277.145,Bode's Galaxy,,,,,,,,,,,
Kepler-1967,1,1,249.667,Large Magellanic Cloud,,,,,,,,,,,
Kepler-1968,1,1,297.096,Bode's Galaxy,,,,,,,,,,,
Kepler-1969,1,1,257.816,Cigar Galaxy,,,,,,,,,,,
Kepler-197,2,4,48.856,Coma Pinwheel Galaxy,,,,,,,,,,,
Kepler-1972,1,2,277.444,Blinking Galaxy,,,,,,,,,,,
Kepler-1976,1,1,23.951,Malin 1,,,,,,,,,,,
Kepler-1977,1,1,262.1,Porphyrion,,,,,,,,,,,
Kepler-1978,1,1,191.058,Comet Galaxy,,,,,,,,,,,
Kepler-1979,1,1,141.914,Sculptor Dwarf Galaxy,,,,,,,,,,,
Kepler-198,1,3,5.086,Eye of Sauron,,,,,,,,,,,
Kepler-1980,1,1,139.285,Needle Galaxy,,,,,,,,,,,
Kepler-1981,1,1,31.181,Malin 1,,,,,,,,,,,
Kepler-1982,1,1,215.133,Barnard's Galaxy,,,,,,,,,,,
Kepler-1983,1,1,214.552,Cocoon Galaxy,,,,,,,,,,,
Kepler-1984,1,1,18.631,Cocoon Galaxy,,,,,,,,,,,
Kepler-1985,1,1,59.013,Andromeda Galaxy,,,,,,,,,,,
Kepler-1986,1,1,245.969,Coma Pinwheel Galaxy,,,,,,,,,,,
Kepler-1987,1,4,263.754,Blinking Galaxy,,,,,,,,,,,
Kepler-1988,1,1,243.049,Knife Edge Galaxy,,,,,,,,,,,
Kepler-1989,1,1,157.628,Spider Galaxy,,,,,,,,,,,
Kepler-199,1,2,260.056,Circinus Galaxy,,,,,,,,,,,
Kepler-1990,1,2,204.383,Porpoise Galaxy,,,,,,,,,,,
Kepler-1991,1,2,197.188,Little Sombrero Galaxy,,,,,,,,,,,
Kepler-1992,1,1,97.664,Bode's Galaxy,,,,,,,,,,,
Kepler-1993,1,1,11.74,Antennae Galaxies,,,,,,,,,,,
Kepler-1994,1,1,140.469,Hoag's Object,,,,,,,,,,,
Kepler-1995,1,1,284.616,Bode's Galaxy,,,,,,,,,,,
Kepler-1996,1,2,6.76,Sunflower Galaxy,,,,,,,,,,,
Kepler-1997,1,1,203.4,Bode's Galaxy,,,,,,,,,,,
Kepler-1998,1,1,124.57,Sculptor Galaxy,,,,,,,,,,,
Kepler-1999,1,1,159.522,Butterfly Galaxies,,,,,,,,,,,
Kepler-20,2,6,221.232,Spiderweb Galaxy,,,,,,,,,,,
Kepler-200,1,2,194.156,Fireworks Galaxy,,,,,,,,,,,
Kepler-2000,1,2,223.813,Eye of Sauron,,,,,,,,,,,
Kepler-2001,1,2,183.141,Whale Galaxy,,,,,,,,,,,
Kepler-201,1,2,76.804,Skyrocket Galaxy,,,,,,,,,,,
Kepler-202,1,2,7.116,Sculptor Dwarf Galaxy,,,,,,,,,,,
Kepler-203,1,3,231.442,Black Eye Galaxy,,,,,,,,,,,
Kepler-204,1,2,241.646,Topsy Turvy Galaxy,,,,,,,,,,,
Kepler-205,1,2,57.049,Large Magellanic Cloud,,,,,,,,,,,
Kepler-206,1,3,263.406,Pinwheel Galaxy,,,,,,,,,,,
Kepler-207,1,3,212.891,Helix Galaxy,,,,,,,,,,,
Kepler-208,1,4,115.227,Helix Galaxy,,,,,,,,,,,
Kepler-209,1,2,40.618,Small Magellanic Cloud,,,,,,,,,,,
Kepler-21,2,1,25.727,Sculptor Dwarf Galaxy,,,,,,,,,,,
Kepler-210,1,2,105.049,Dusty Hand Galaxy,,,,,,,,,,,
Kepler-211,1,2,180.732,Large Magellanic Cloud,,,,,,,,,,,
Kepler-212,1,2,85.528,Cocoon Galaxy,,,,,,,,,,,
Kepler-213,1,2,108.875,Dusty Hand Galaxy,,,,,,,,,,,
Kepler-214,1,2,277.783,Hidden Galaxy,,,,,,,,,,,
Kepler-215,1,4,290.023,Sombrero Galaxy,,,,,,,,,,,
Kepler-216,1,2,219.514,Porphyrion,,,,,,,,,,,
Kepler-217,1,3,171.65,Triangulum Galaxy,,,,,,,,,,,
Kepler-218,1,3,141.929,Lindsay-Shapley Ring,,,,,,,,,,,
Kepler-219,1,3,100.619,Cartwheel Galaxy,,,,,,,,,,,
Kepler-22,1,1,198.192,Sculptor Galaxy,,,,,,,,,,,
Kepler-220,1,4,204.124,Cartwheel Galaxy,,,,,,,,,,,
Kepler-221,1,4,41.588,Large Magellanic Cloud,,,,,,,,,,,
Kepler-222,1,3,44.936,Blinking Galaxy,,,,,,,,,,,
Kepler-223,1,4,225.915,Circinus Galaxy,,,,,,,,,,,
Kepler-224,1,4,283.913,Condor Galaxy,,,,,,,,,,,
Kepler-225,1,2,100.712,Fireworks Galaxy,,,,,,,,,,,
Kepler-226,1,3,230.162,Antennae Galaxies,,,,,,,,,,,
Kepler-227,1,2,70.983,Coma Pinwheel Galaxy,,,,,,,,,,,
Kepler-228,1,3,136.932,Dusty Hand Galaxy,,,,,,,,,,,
Kepler-229,1,3,80.473,Andromeda Galaxy,,,,,,,,,,,
Kepler-23,1,3,169.765,Wolf-Lundmark-Melotte,,,,,,,,,,,
Kepler-230,1,2,267.537,Helix Galaxy,,,,,,,,,,,
Kepler-231,1,2,194.823,Alcyoneus,,,,,,,,,,,
Kepler-232,1,2,45.191,Paramecium Galaxy,,,,,,,,,,,
Kepler-233,1,2,271.733,Coma Pinwheel Galaxy,,,,,,,,,,,
Kepler-234,1,2,201.164,Fried Egg Galaxy,,,,,,,,,,,
Kepler-235,1,4,123.072,Barnard's Galaxy,,,,,,,,,,,
Kepler-236,1,2,70.582,Backward Galaxy,,,,,,,,,,,
Kepler-237,1,2,89.034,Milky Way,,,,,,,,,,,
Kepler-238,1,5,199.79,Blinking Galaxy,,,,,,,,,,,
Kepler-239,1,2,185.209,Butterfly Galaxies,,,,,,,,,,,
Kepler-24,1,4,148.245,Condor Galaxy,,,,,,,,,,,
Kepler-240,1,2,295.101,Barnard's Galaxy,,,,,,,,,,,
Kepler-241,1,2,253.977,Spider Galaxy,,,,,,,,,,,
Kepler-242,1,2,82.977,Porphyrion,,,,,,,,,,,
Kepler-243,1,2,185.38,Mice Galaxies,,,,,,,,,,,
Kepler-244,1,3,51.076,Lindsay-Shapley Ring,,,,,,,,,,,
Kepler-245,1,4,296.859,Bear Paw Galaxy,,,,,,,,,,,
