Planet Name,Planet Radius [Earth Radius],Duration of a day (hours),Planetary Type,Gravity Strength,Has Biosphere,Discovery Year,Star Name,ObjectType
NGTS-2 b,12.711,46.22,Gas Giant,High,0,2019,NGTS-2,P
BD+03 2562 b,12.7,98.21,Gas Giant,High,0,2017,BD+03 2562,P
DP Leo b,12.7,45.39,Garden World,Medium,1,2009,DP Leo,P
HD 95735 c,12.7,117.33,Chthonian Planet,Low,1,2017,GJ 411,P
HIP 107772 b,12.7,83.5,Ice Giant,High,0,2005,HIP 107772,P
HIP 107773 b,12.7,12.04,Ice Giant,High,0,2013,HIP 107773,P
HIP 21152 b,12.7,122.35,Proto Planet,Low,1,2009,HIP 21152,P
HIP 35965 b,12.7,103.44,Garden World,Medium,1,2009,HIP 35965,P
HIP 97166 c,12.7,91.38,Garden World,Medium,1,2001,HIP 97166,P
HS Psc b,12.7,87.53,Gas Giant,High,0,2009,HS Psc,P
K2-16 c,12.7,69.46,Dwarf Planet,Low,1,2015,K2-16,P
K2-166 b,12.7,28.84,Dwarf Planet,Low,1,2022,K2-166,P
K2-230 b,12.7,41.47,Gas Giant,High,0,2002,K2-230,P
K2-284 b,12.7,55.96,Gas Giant,High,0,2015,K2-284,P
K2-3 d,12.7,120.32,Gas Giant,High,0,2016,K2-3,P
K2-318 b,12.7,43.18,Proto Planet,Low,1,2013,K2-318,P
K2-345 b,12.7,70.49,Gas Giant,High,0,2017,K2-345,P
K2-358 b,12.7,59.72,Garden World,Medium,1,2016,K2-358,P
K2-383 b,12.7,56.93,Ice Giant,High,0,2023,K2-383,P
K2-66 b,12.7,40.7,Ice Giant,High,0,2016,K2-66,P
K2-68 b,12.7,8.11,Gas Giant,High,0,2020,K2-68,P
KOI-351 e,12.7,68.45,Proto Planet,Low,1,2021,KOI-351,P
KOI-984 c,12.7,118.21,Dwarf Planet,Low,1,2015,KOI-984,P
Kepler-1015 b,12.7,35.12,Gas Giant,High,0,1999,Kepler-1015,P
Kepler-1020 b,12.7,71.96,Gas Giant,High,0,2018,Kepler-1020,P
OGLE-2006-BLG-109L b,12.7,115.7,Ice Giant,High,0,2018,OGLE-2006-BLG-109L,P
OGLE-2017-BLG-1140L b,12.7,73.19,Proto Planet,Low,1,2021,OGLE-2017-BLG-1140L,P
Kepler-719 b,12.67,103.09,Dwarf Planet,Low,1,2018,Kepler-719,P
HATS-50 b,12.666,120.98,Ice Giant,High,0,2017,HATS-50,P
K2-201 b,12.666,28.78,Proto Planet,Low,1,2005,K2-201,P
HATS-59 b,12.621,120.43,Proto Planet,Low,1,2018,HATS-59,P
14 Her b,12.6,63.26,Dwarf Planet,Low,1,2002,14 Her,P
2MASS J04414489+2301513 b,12.6,99.48,Dwarf Planet,Low,1,2010,2MASS J04414489+2301513,P
4 UMa b,12.6,105.17,Dwarf Planet,Low,1,2006,4 UMa,P
70 Vir b,12.6,119.31,Chthonian Planet,Low,1,1996,70 Vir,P
HD 102329 b,12.6,13.61,Chthonian Planet,Low,1,2011,HD 102329,P
HD 93385 d,12.6,21.36,Ice Giant,High,0,2022,HD 93385,P
HD 93963 A b,12.6,34.16,Proto Planet,Low,1,2003,HD 93963,P
HD 96700 c,12.6,62.24,Ice Giant,High,0,2022,HD 96700,P
HD 98219 b,12.6,56.26,Dwarf Planet,Low,1,2021,HD 98219,P
HIP 74890 b,12.6,83.49,Dwarf Planet,Low,1,2021,HIP 74890,P
K2-165 b,12.6,85.41,Garden World,Medium,1,1998,K2-165,P
K2-170 b,12.6,88.21,Proto Planet,Low,1,2003,K2-170,P
K2-183 b,12.6,68.64,Dwarf Planet,Low,1,2001,K2-183,P
K2-219 b,12.6,31.42,Gas Giant,High,0,2022,K2-219,P
K2-229 c,12.6,62.58,Proto Planet,Low,1,2022,K2-229,P
K2-3 c,12.6,16.34,Gas Giant,High,0,1999,K2-3,P
K2-357 b,12.6,3.67,Garden World,Medium,1,2002,K2-357,P
K2-409 b,12.6,17.41,Gas Giant,High,0,2022,K2-409,P
K2-47 b,12.6,43.1,Gas Giant,High,0,2002,K2-47,P
K2-65 b,12.6,64.35,Ice Giant,High,0,2011,K2-65,P
K2-72 d,12.6,75.71,Dwarf Planet,Low,1,2022,K2-72,P
K2-86 b,12.6,19.59,Gas Giant,High,0,2016,K2-86,P
KELT-4 A b,12.6,63.28,Proto Planet,Low,1,2011,KELT-4,P
KIC 10001893 d,12.6,40.68,Garden World,Medium,1,2024,KIC 10001893,P
KMT-2016-BLG-1397L b,12.6,62.65,Gas Giant,High,0,2005,KMT-2016-BLG-1397L,P
KMT-2018-BLG-1292L b,12.6,79.81,Ice Giant,High,0,2022,KMT-2018-BLG-1292L,P
KMT-2018-BLG-1996L b,12.6,89.52,Dwarf Planet,Low,1,1999,KMT-2018-BLG-1996L,P
KMT-2021-BLG-1303L b,12.6,116.44,Dwarf Planet,Low,1,2012,KMT-2021-BLG-1303L,P
KMT-2021-BLG-2010L b,12.6,2.87,Garden World,Medium,1,2014,KMT-2021-BLG-2010L,P
KOI-1257 b,12.6,110.31,Proto Planet,Low,1,2022,KOI-1257,P
KOI-351 d,12.6,75.89,Ice Giant,High,0,2022,KOI-351,P
Kepler-1001 c,12.6,66.86,Dwarf Planet,Low,1,2016,Kepler-1001,P
OGLE-2015-BLG-1649L b,12.6,44.95,Ice Giant,High,0,2021,OGLE-2015-BLG-1649L,P
tau Cet e,12.6,110.54,Ice Giant,High,0,2021,tau Cet,P
HAT-P-59 b,12.588,39.22,Ice Giant,High,0,2021,HAT-P-59,P
HATS-2 b,12.576,101.26,Proto Planet,Low,1,2013,HATS-2,P
HD 99492 c,12.554,13.47,Ice Giant,High,0,2005,HD 99492,P
HAT-P-63 b,12.543,65.1,Gas Giant,High,0,2021,HAT-P-63,P
HATS-47 b,12.52,43.5,Proto Planet,Low,1,2020,HATS-47,P
18 Del b,12.5,72.63,Gas Giant,High,0,2008,18 Del,P
AB Aur b,12.5,72.15,Proto Planet,Low,1,2022,AB Aur,P
BD-08 2823 c,12.5,46.85,Ice Giant,High,0,2009,BD-08 2823,P
BD-13 2130 b,12.5,16.02,Dwarf Planet,Low,1,2007,BD-13 2130,P
GJ 9714 b,12.5,31.82,Gas Giant,High,0,2022,HIP 103768,P
HD 106252 b,12.5,58.97,Dwarf Planet,Low,1,2002,HD 106252,P
HD 106515 A b,12.5,111.33,Gas Giant,High,0,2012,HD 106515,P
HD 97658 b,12.5,101.4,Dwarf Planet,Low,1,2022,HD 97658,P
HIP 113103 b,12.5,4.58,Ice Giant,High,0,2022,HIP 113103,P
HIP 9618 c,12.5,38.99,Gas Giant,High,0,2002,HIP 9618,P
K2-124 b,12.5,57.32,Gas Giant,High,0,2023,K2-124,P
K2-133 c,12.5,98.06,Ice Giant,High,0,2011,K2-133,P
K2-133 d,12.5,92.05,Gas Giant,High,0,2018,K2-133,P
K2-152 b,12.5,37.36,Gas Giant,High,0,2002,K2-152,P
K2-167 b,12.5,63.81,Gas Giant,High,0,2010,K2-167,P
K2-171 b,12.5,32.24,Dwarf Planet,Low,1,2007,K2-171,P
K2-172 c,12.5,78.78,Gas Giant,High,0,2009,K2-172,P
K2-187 c,12.5,91.18,Gas Giant,High,0,2019,K2-187,P
K2-188 b,12.5,70.74,Proto Planet,Low,1,2022,K2-188,P
K2-19 d,12.5,112.92,Ice Giant,High,0,2008,K2-19,P
K2-206 b,12.5,29.53,Gas Giant,High,0,2016,K2-206,P
K2-249 b,12.5,48.33,Dwarf Planet,Low,1,2012,K2-249,P
K2-279 b,12.5,9.8,Ice Giant,High,0,2012,K2-279,P
K2-331 c,12.5,30.23,Proto Planet,Low,1,2019,K2-331,P
K2-375 b,12.5,44.62,Proto Planet,Low,1,2006,K2-375,P
K2-376 b,12.5,22.5,Proto Planet,Low,1,2005,K2-376,P
K2-389 b,12.5,7.4,Gas Giant,High,0,2000,K2-389,P
K2-389 c,12.5,74.24,Proto Planet,Low,1,2009,K2-389,P
K2-63 b,12.5,118.66,Garden World,Medium,1,2014,K2-63,P
KELT-3 b,12.5,32.78,Dwarf Planet,Low,1,2003,KELT-3,P
KMT-2017-BLG-1146L b,12.5,77.09,Chthonian Planet,Low,1,2022,KMT-2017-BLG-1146L,P
KMT-2018-BLG-0030L b,12.5,63.05,Chthonian Planet,Low,1,2009,KMT-2018-BLG-0030L,P
KOI-4777.01,12.5,74.21,Proto Planet,Low,1,2013,KOI-4777,P
COCONUTS-2 b,12.442,51.67,Proto Planet,Low,1,2021,COCONUTS-2,P
EPIC 248847494 b,12.442,17.7,Gas Giant,High,0,2018,EPIC 248847494,P
HAT-P-21 b,12.442,63.72,Dwarf Planet,Low,1,2010,HAT-P-21,P
Kepler-1013 b,12.442,70.41,Proto Planet,Low,1,2016,Kepler-1013,P
NGC 2682 Sand 978 b,12.442,59.01,Garden World,Medium,1,2012,NGC 2682 Sand 978,P
OGLE-TR-111 b,12.442,81.05,Ice Giant,High,0,2010,OGLE-TR-111,P
2MASS J0249-0557 c,12.4,117.6,Chthonian Planet,Low,1,2018,2MASS J0249-0557,P
2MASS J21252752-8138278 b,12.4,22.78,Gas Giant,High,0,2024,2MASS J21252752-8138278,P
BD+20 2457 c,12.4,7.21,Proto Planet,Low,1,2009,BD+20 2457,P
BD+63 1405 b,12.4,32.66,Gas Giant,High,0,2021,BD+63 1405,P
CFBDSIR J145829+101343 b,12.4,77.09,Ice Giant,High,0,2011,CFBDSIR J145829+101343,P
DE CVn b,12.4,30.82,Proto Planet,Low,1,2018,DE CVn,P
GJ 900 b,12.4,6.5,Ice Giant,High,0,2024,GJ 900,P
HAT-P-2 c,12.4,99.22,Chthonian Planet,Low,1,2023,HAT-P-2,P
HD 106270 b,12.4,112.67,Ice Giant,High,0,2011,HD 106270,P
HD 106906 b,12.4,10.94,Dwarf Planet,Low,1,2013,HD 106906,P
HD 89744 b,12.4,44.72,Proto Planet,Low,1,2009,HD 89744,P
HD 99706 b,12.4,54.94,Dwarf Planet,Low,1,2024,HD 99706,P
HIP 12961 b,12.4,111.47,Proto Planet,Low,1,2022,HIP 12961,P
HIP 4845 b,12.4,0.49,Dwarf Planet,Low,1,2005,HIP 4845,P
HIP 97233 b,12.4,56.22,Proto Planet,Low,1,2012,HIP 97233,P
K2-136 d,12.4,61.17,Gas Giant,High,0,2007,K2-136,P
K2-168 b,12.4,95.9,Gas Giant,High,0,2022,K2-168,P
K2-215 b,12.4,25.04,Dwarf Planet,Low,1,2022,K2-215,P
K2-322 b,12.4,122.39,Ice Giant,High,0,2003,K2-322,P
K2-39 b,12.4,6.37,Garden World,Medium,1,2001,K2-39,P
K2-83 b,12.4,2.63,Gas Giant,High,0,2005,K2-83,P
KMT-2018-BLG-0885L b,12.4,77.1,Ice Giant,High,0,2016,KMT-2018-BLG-0885L,P
KMT-2020-BLG-0414L c,12.4,27.93,Proto Planet,Low,1,2015,KMT-2020-BLG-0414L,P
NN Ser d,12.4,106.35,Ice Giant,High,0,2016,NN Ser,P
HATS-15 b,12.386,34.45,Dwarf Planet,Low,1,2016,HATS-15,P
Teegarden's Star c,12.341,0.19,Dwarf Planet,Low,1,2014,Teegarden's Star,P
K2-173 b,12.33,3.68,Garden World,Medium,1,2007,K2-173,P
K2-75 b,12.31,35.46,Garden World,Medium,1,2005,K2-75,P
11 UMi b,12.3,81.4,Garden World,Medium,1,2009,11 UMi,P
2MASS J01033563-5515561 AB b,12.3,39.18,Chthonian Planet,Low,1,2013,2MASS J01033563-5515561,P
2MASS J22362452+4751425 b,12.3,56.16,Proto Planet,Low,1,2016,2MASS J22362452+4751425,P
30 Ari B b,12.3,87.92,Dwarf Planet,Low,1,2009,30 Ari,P
AB Pic b,12.3,14.35,Dwarf Planet,Low,1,2005,AB Pic,P
CHXR 73 b,12.3,0.38,Ice Giant,High,0,2006,CHXR 73,P
GJ 2030 c,12.3,8.24,Dwarf Planet,Low,1,2022,GJ 2030,P
GJ 676 A c,12.3,65.88,Ice Giant,High,0,2016,GJ 676,P
HAT-P-13 c,12.3,58.74,Dwarf Planet,Low,1,2009,HAT-P-13,P
HATS-59 c,12.3,50.49,Dwarf Planet,Low,1,2018,HATS-59,P
HD 97037 b,12.3,9.65,Proto Planet,Low,1,2022,HD 97037,P
HIP 65891 b,12.3,70.59,Ice Giant,High,0,2022,HIP 65891,P
K2-107 b,12.3,24,Chthonian Planet,Low,1,2022,K2-107,P
K2-138 g,12.3,33.98,Proto Planet,Low,1,2018,K2-138,P
K2-155 d,12.3,2.47,Proto Planet,Low,1,2009,K2-155,P
K2-176 b,12.3,68.73,Gas Giant,High,0,2009,K2-176,P
K2-218 b,12.3,87.32,Chthonian Planet,Low,1,2012,K2-218,P
K2-275 c,12.3,123.34,Garden World,Medium,1,2011,K2-275,P
K2-312 c,12.3,96.7,Dwarf Planet,Low,1,2011,HD 80653,P
K2-330 b,12.3,77.81,Garden World,Medium,1,2015,K2-330,P
K2-48 b,12.3,68.26,Ice Giant,High,0,2021,K2-48,P
K2-89 b,12.3,7.37,Gas Giant,High,0,2021,K2-89,P
KMT-2018-BLG-0247L b,12.3,49.7,Dwarf Planet,Low,1,2009,KMT-2018-BLG-0247L,P
KMT-2019-BLG-0842L b,12.3,59.76,Proto Planet,Low,1,2022,KMT-2019-BLG-0842L,P
KOI-94 e,12.3,75.32,Ice Giant,High,0,2017,KOI-94,P
Kepler-100 e,12.3,58.19,Dwarf Planet,Low,1,2023,Kepler-100,P
HATS-58 A b,12.274,83.58,Gas Giant,High,0,2019,HATS-58,P
CoRoT-14 b,12.22,14.13,Ice Giant,High,0,2010,CoRoT-14,P
HAT-P-31 b,12.218,120.02,Dwarf Planet,Low,1,2011,HAT-P-31,P
11 Com b,12.2,115.56,Gas Giant,High,0,2007,11 Com,P
2MASS J03590986+2009361 b,12.2,68.21,Garden World,Medium,1,2024,2MASS J03590986+2009361,P
CoRoT-20 c,12.2,114.88,Dwarf Planet,Low,1,2018,CoRoT-20,P
FU Tau b,12.2,61.59,Gas Giant,High,0,2008,FU Tau,P
HD 93963 A c,12.2,111.22,Dwarf Planet,Low,1,2022,HD 93963,P
HD 94771 b,12.2,40.78,Proto Planet,Low,1,2023,HD 94771,P
HIP 8152 c,12.2,35.5,Ice Giant,High,0,2014,HIP 8152,P
K2-165 c,12.2,3.95,Garden World,Medium,1,2000,K2-165,P
K2-224 b,12.2,119.83,Garden World,Medium,1,2004,K2-224,P
K2-233 b,12.2,42.82,Garden World,Medium,1,2022,K2-233,P
K2-286 b,12.2,97.37,Proto Planet,Low,1,2016,K2-286,P
K2-287 b,12.2,54.75,Ice Giant,High,0,2012,K2-287,P
K2-326 b,12.2,64.65,Proto Planet,Low,1,2011,K2-326,P
K2-337 b,12.2,116.06,Dwarf Planet,Low,1,2022,K2-337,P
K2-35 c,12.2,52.75,Chthonian Planet,Low,1,2022,K2-35,P
KELT-12 b,12.2,55.08,Ice Giant,High,0,2023,KELT-12,P
KOI-3503 b,12.2,112.48,Garden World,Medium,1,2011,KOI-3503,P
Kepler-1010 b,12.2,29.68,Garden World,Medium,1,2023,Kepler-1010,P
OGLE-2005-BLG-071L b,12.2,17.48,Ice Giant,High,0,2018,OGLE-2005-BLG-071L,P
OGLE-2007-BLG-349L AB c,12.2,5.51,Dwarf Planet,Low,1,2018,OGLE-2007-BLG-349L,P
OGLE-2017-BLG-0448L b,12.2,49.84,Chthonian Planet,Low,1,2021,OGLE-2017-BLG-0448L,P
Kepler-569 b,12.14,14.38,Chthonian Planet,Low,1,2017,Kepler-569,P
CoRoT-25 b,12.11,35.1,Dwarf Planet,Low,1,2013,CoRoT-25,P
2MASS J11550485-7919108 b,12.1,85.55,Gas Giant,High,0,2024,2MASS J11550485-7919108,P
BD+20 2457 b,12.1,50.9,Gas Giant,High,0,2009,BD+20 2457,P
HD 109988 b,12.1,21.78,Chthonian Planet,Low,1,2022,HD 109988,P
HD 95089 c,12.1,15.71,Ice Giant,High,0,2020,HD 95089,P
HIP 81208 C b,12.1,49.94,Chthonian Planet,Low,1,2008,HIP 81208,P
K2-159 b,12.1,123.2,Ice Giant,High,0,2023,K2-159,P
K2-190 c,12.1,88.27,Chthonian Planet,Low,1,2022,K2-190,P
K2-193 b,12.1,34.17,Ice Giant,High,0,2023,K2-193,P
K2-265 b,12.1,69.7,Gas Giant,High,0,2016,K2-265,P
K2-35 b,12.1,121.14,Gas Giant,High,0,2022,K2-35,P
K2-4 b,12.1,110.61,Ice Giant,High,0,2003,K2-4,P
K2-71 b,12.1,53.99,Proto Planet,Low,1,2022,K2-71,P
KELT-10 b,12.1,6.32,Garden World,Medium,1,2022,KELT-10,P
KMT-2021-BLG-0322L b,12.1,16.68,Dwarf Planet,Low,1,2011,KMT-2021-BLG-0322L,P
KMT-2021-BLG-1077L c,12.1,15.39,Gas Giant,High,0,2022,KMT-2021-BLG-1077L,P
Kepler-10 d,12.1,21.09,Dwarf Planet,Low,1,2024,Kepler-10,P
Kepler-100 c,12.1,34.75,Proto Planet,Low,1,2019,Kepler-100,P
Kepler-1006 b,12.1,38.39,Ice Giant,High,0,2022,Kepler-1006,P
Kepler-101 c,12.1,88.61,Ice Giant,High,0,2014,Kepler-101,P
Kepler-1022 b,12.1,108.86,Dwarf Planet,Low,1,2024,Kepler-1022,P
NGTS-6 b,12.1,16.8,Ice Giant,High,0,2022,NGTS-6,P
OGLE-2015-BLG-0051L b,12.1,78.73,Gas Giant,High,0,2023,OGLE-2015-BLG-0051L,P
OGLE-2015-BLG-0966L b,12.1,122.98,Chthonian Planet,Low,1,2023,OGLE-2015-BLG-0966L,P
OGLE-2018-BLG-0740L b,12.1,57.09,Chthonian Planet,Low,1,2023,OGLE-2018-BLG-0740L,P
OGLE-2018-BLG-1185L b,12.1,33.39,Chthonian Planet,Low,1,2023,OGLE-2018-BLG-1185L,P
OGLE-2018-BLG-1212L b,12.1,113.51,Gas Giant,High,0,2024,OGLE-2018-BLG-1212L,P
OGLE-2019-BLG-0299L b,12.1,108.29,Chthonian Planet,Low,1,2024,OGLE-2019-BLG-0299L,P
HATS-76 b,12.094,55.76,Dwarf Planet,Low,1,2021,HATS-76,P
HAT-P-62 b,12.027,16.03,Dwarf Planet,Low,1,2021,HAT-P-62,P
HAT-P-68 b,12.016,91.94,Dwarf Planet,Low,1,2020,HAT-P-68,P
G 196-3 b,12,61.47,Dwarf Planet,Low,1,2024,G 196-3,P
GJ 680 b,12,122.94,Proto Planet,Low,1,2022,HIP 86057,P
K2-185 c,12,104.3,Ice Giant,High,0,2010,K2-185,P
K2-292 b,12,92.96,Chthonian Planet,Low,1,2019,K2-292,P
K2-350 c,12,84.47,Dwarf Planet,Low,1,2017,K2-350,P
K2-72 b,12,79.65,Proto Planet,Low,1,2022,K2-72,P
KMT-2016-BLG-1107L b,12,95.64,Gas Giant,High,0,2022,KMT-2016-BLG-1107L,P
KMT-2016-BLG-1836L b,12,90.42,Ice Giant,High,0,2020,KMT-2016-BLG-1836L,P
KMT-2016-BLG-2142L b,12,104.17,Ice Giant,High,0,2022,KMT-2016-BLG-2142L,P
KMT-2023-BLG-1642L b,12,15.99,Chthonian Planet,Low,1,2022,KMT-2023-BLG-1642L,P
KOI-142 c,12,24.58,Dwarf Planet,Low,1,2024,KOI-142,P
Kepler-100 b,12,49.57,Gas Giant,High,0,2010,Kepler-100,P
KIC 8540376 c,11.994,79.61,Ice Giant,High,0,2001,KOI-7892,P
HATS-44 b,11.96,67.43,Chthonian Planet,Low,1,2018,HATS-44,P
CoRoT-9 b,11.949,31.45,Chthonian Planet,Low,1,2009,CoRoT-9,P
2MASS J11011926-7732383 b,11.9,4.95,Chthonian Planet,Low,1,2024,2MASS J11011926-7732383,P
DENIS-P J082303.1-491201 b,11.9,107.78,Garden World,Medium,1,2013,DENIS-P J082303.1-491201,P
GJ 1148 b,11.9,82.17,Dwarf Planet,Low,1,2010,GJ 1148,P
HD 105618 c,11.9,6.71,Chthonian Planet,Low,1,2022,HD 105618,P
HD 93385 c,11.9,50.67,Gas Giant,High,0,2022,HD 93385,P
HIP 14810 b,11.9,13.44,Garden World,Medium,1,2019,HIP 14810,P
K2-12 b,11.9,1.61,Garden World,Medium,1,2022,K2-12,P
K2-199 b,11.9,105.53,Chthonian Planet,Low,1,2022,K2-199,P
K2-34 b,11.9,63.79,Dwarf Planet,Low,1,2021,K2-34,P
K2-417 b,11.9,51.98,Chthonian Planet,Low,1,2022,K2-417,P
K2-87 b,11.9,119.21,Gas Giant,High,0,2023,K2-87,P
OGLE-2013-BLG-0911L b,11.9,54.2,Ice Giant,High,0,2023,OGLE-2013-BLG-0911L,P
HAT-P-15 b,11.882,63.6,Chthonian Planet,Low,1,2010,HAT-P-15,P
Kepler-769 b,11.882,51.25,Proto Planet,Low,1,2016,Kepler-769,P
HATS-62 b,11.825,34.8,Proto Planet,Low,1,2018,HATS-62,P
Kepler-57 c,11.803,120.99,Gas Giant,High,0,2017,Kepler-57,P
K2-191 b,11.8,2.5,Dwarf Planet,Low,1,2022,K2-191,P
EPIC 246851721 b,11.781,75.34,Gas Giant,High,0,2018,EPIC 246851721,P
Kepler-1012 b,11.777,84.43,Gas Giant,High,0,2006,Kepler-1012,P
CoRoT-23 b,11.77,121,Ice Giant,High,0,2011,CoRoT-23,P
HAT-P-17 b,11.769,55.26,Dwarf Planet,Low,1,2010,HAT-P-17,P
NGC 2682 Sand 364 b,11.73,0.5,Ice Giant,High,0,2016,NGC 2682 Sand 364,P
HATS-14 b,11.646,58.52,Ice Giant,High,0,2015,HATS-14,P
Kepler-767 b,11.646,63.21,Proto Planet,Low,1,2016,Kepler-767,P
HATS-74 A b,11.568,118.97,Proto Planet,Low,1,2021,HATS-74,P
Proxima Cen b,11.545,6.24,Dwarf Planet,Low,1,2018,alf Cen,P
HIP 8152 b,11.5,113.49,Garden World,Medium,1,2018,HIP 8152,P
HATS-71 b,11.478,87.32,Ice Giant,High,0,2020,HATS-71,P
HATS-4 b,11.433,114.17,Dwarf Planet,Low,1,2014,HATS-4,P
CoRoT-17 b,11.43,22.68,Ice Giant,High,0,2011,CoRoT-17,P
HAT-P-27 b,11.43,55.99,Ice Giant,High,0,2011,HAT-P-27,P
OGLE-2017-BLG-0373L b,11.4,41.79,Ice Giant,High,0,2022,OGLE-2017-BLG-0373L,P
HATS-54 b,11.377,117.95,Chthonian Planet,Low,1,2019,HATS-54,P
CoRoT-3 b,11.32,120.62,Proto Planet,Low,1,2008,CoRoT-3,P
CoRoT-30 b,11.31,53.12,Gas Giant,High,0,2020,CoRoT-30,P
HAT-P-52 b,11.31,72.36,Ice Giant,High,0,2015,HAT-P-52,P
PH1 b,11.3,120.39,Gas Giant,High,0,2013,PH1,P
HAT-P-19 b,11.299,23.27,Dwarf Planet,Low,1,2010,HAT-P-19,P
CoRoT-27 b,11.287,67,Gas Giant,High,0,2014,CoRoT-27,P
Kepler-760 c,11.276,82.98,Chthonian Planet,Low,1,2019,Kepler-760,P
PZ Tel b,11.27,66.05,Chthonian Planet,Low,1,2013,PZ Tel,P
2MASS J01225093-2439505 b,11.209,30.55,Ice Giant,High,0,2013,2MASS J01225093-2439505,P
HD 95872 b,11.209,116.28,Gas Giant,High,0,2022,HD 95872,P
Kepler-692 b,11.209,83.72,Garden World,Medium,1,2018,Kepler-692,P
HATS-6 b,11.187,19.04,Ice Giant,High,0,2015,HATS-6,P
HAT-P-18 b,11.153,37.59,Dwarf Planet,Low,1,2010,HAT-P-18,P
HD 109749 b,11.1,102.08,Proto Planet,Low,1,2005,HD 109749,P
K2-165 d,11.1,23.34,Ice Giant,High,0,2002,K2-165,P
K2-98 b,11.1,52.46,Ice Giant,High,0,2011,K2-98,P
PH2 b,11.097,85.99,Garden World,Medium,1,2018,PH2,P
HD 108147 b,10.9,25.36,Dwarf Planet,Low,1,2002,HD 108147,P
HIP 97166 b,10.9,44.28,Ice Giant,High,0,2022,HIP 97166,P
K2-150 b,10.9,48.23,Ice Giant,High,0,2000,K2-150,P
OGLE-2018-BLG-1119L b,10.9,65.82,Gas Giant,High,0,2023,OGLE-2018-BLG-1119L,P
CoRoT-10 b,10.87,87.18,Chthonian Planet,Low,1,2010,CoRoT-10,P
HATS-10 b,10.862,64.2,Ice Giant,High,0,2015,HATS-10,P
GJ 649 b,10.8,93.57,Gas Giant,High,0,2009,GJ 649,P
HAT-P-12 b,10.749,47.22,Ice Giant,High,0,2009,HAT-P-12,P
Kepler-1021 b,10.738,8.42,Dwarf Planet,Low,1,2024,Kepler-1021,P
CoRoT-28 b,10.705,64.38,Garden World,Medium,1,2015,CoRoT-28,P
HATS-22 b,10.682,106.23,Ice Giant,High,0,2017,HATS-22,P
HAT-P-2 b,10.66,30.69,Proto Planet,Low,1,2007,HAT-P-2,P
HD 101930 b,10.6,92.21,Gas Giant,High,0,2005,HD 101930,P
OGLE-2017-BLG-1691L b,10.6,59.92,Ice Giant,High,0,2022,OGLE-2017-BLG-1691L,P
HATS-69 b,10.593,99.74,Dwarf Planet,Low,1,2018,HATS-69,P
Kepler-57 b,10.592,18.22,Chthonian Planet,Low,1,2017,Kepler-57,P
HAT-P-54 b,10.581,109.19,Proto Planet,Low,1,2015,HAT-P-54,P
L 168-9 b,10.55,91.95,Dwarf Planet,Low,1,2024,L 168-9,P
OGLE-2019-BLG-0468L c,10.54,16.77,Dwarf Planet,Low,1,2014,OGLE-2019-BLG-0468L,P
HAT-P-3 b,10.536,8.69,Dwarf Planet,Low,1,2007,HAT-P-3,P
OGLE-2014-BLG-0124L b,10.5,67.64,Ice Giant,High,0,2021,OGLE-2014-BLG-0124L,P
HIP 29442 d,10.3,101.03,Garden World,Medium,1,2018,HD 42813,P
HATS-5 b,10.223,67.02,Ice Giant,High,0,2014,HATS-5,P
KOI-1831 d,10.2,105.79,Proto Planet,Low,1,2016,Kepler-324,P
HATS-46 b,10.122,115.59,Garden World,Medium,1,2018,HATS-46,P
HIP 113103 c,10.1,110.66,Chthonian Planet,Low,1,2022,HIP 113103,P
K2-233 c,10.1,102.74,Gas Giant,High,0,2011,K2-233,P
K2-384 b,10.1,21.85,Gas Giant,High,0,2003,K2-384,P
OGLE-2013-BLG-0102L b,10.1,23.84,Ice Giant,High,0,2022,OGLE-2013-BLG-0102L,P
CoRoT-29 b,10.088,4.84,Proto Planet,Low,1,2015,CoRoT-29,P
HAT-P-61 b,10.077,43.21,Chthonian Planet,Low,1,2021,HAT-P-61,P
Kepler-763 d,10.054,29.51,Gas Giant,High,0,2018,Kepler-763,P
K2-419 A b,10,31.95,Ice Giant,High,0,2000,K2-419,P
KOI-94 c,9.987,28.36,Gas Giant,High,0,2020,KOI-94,P
CoRoT-13 b,9.92,83.21,Gas Giant,High,0,2010,CoRoT-13,P
Kepler-768 b,9.916,41.63,Gas Giant,High,0,2019,Kepler-768,P
HATS-75 b,9.909,86.68,Ice Giant,High,0,2021,HATS-75,P
OGLE-2017-BLG-1522L b,9.86,49.57,Garden World,Medium,1,2022,OGLE-2017-BLG-1522L,P
HATS-8 b,9.785,92.16,Chthonian Planet,Low,1,2015,HATS-8,P
HAT-P-20 b,9.718,38.39,Ice Giant,High,0,2010,HAT-P-20,P
GJ 1148 c,9.71,40.73,Dwarf Planet,Low,1,2017,GJ 1148,P
GJ 9066 c,9.6,72.33,Proto Planet,Low,1,2020,GJ 9066,P
HD 107148 b,9.6,96.2,Dwarf Planet,Low,1,2005,HD 107148,P
KIC 10068024 b,9.6,95.89,Garden World,Medium,1,2002,KIC 10068024,P
OGLE-2017-BLG-1049L b,9.6,14.66,Gas Giant,High,0,2022,OGLE-2017-BLG-1049L,P
KMT-2016-BLG-2605L b,9.58,121.43,Ice Giant,High,0,2019,KMT-2016-BLG-2605L,P
K2-264 c,9.52,90.67,Dwarf Planet,Low,1,2019,K2-264,P
