Phylum,Planet Name,Biome
Chordata,KMT-2019-BLG-1216L b,Marshland
Bryophyta,KMT-2019-BLG-1339L b,Scarlet
Annelida,KMT-2019-BLG-1367L b,Temperate
Cnidaria,KMT-2019-BLG-1552L b,Alpine
Nematoda,KMT-2019-BLG-1715L b,Swamp
Nematoda,KMT-2019-BLG-1806L b,Tropical
Mollusca,KMT-2019-BLG-1953L b,Nemoral
Chordata,KMT-2019-BLG-2783L b,Marshland
Mollusca,KMT-2019-BLG-2974L b,Swamp
Nematoda,KMT-2020-BLG-0414L b,Alpine
Platyhelminthes,KMT-2020-BLG-0414L c,Alpine
Annelida,KMT-2021-BLG-0119L b,Alpine
Arthropoda,KMT-2021-BLG-0171L b,Swamp
Nematoda,KMT-2021-BLG-0192L b,Temperate
Annelida,KMT-2021-BLG-0240L b,Desert
Mollusca,KMT-2021-BLG-0320L b,Scarlet
Annelida,KMT-2021-BLG-0322L b,Tundra
Platyhelminthes,KMT-2021-BLG-0712L b,Nemoral
Bryophyta,KMT-2021-BLG-0748L b,Marshland
Cnidaria,KMT-2021-BLG-0909L b,Boreal
Platyhelminthes,KMT-2021-BLG-0912L b,Tundra
Echinodermata,KMT-2021-BLG-1077L b,Tundra
Annelida,KMT-2021-BLG-1077L c,Alpine
Bryophyta,KMT-2021-BLG-1105L b,Swamp
Echinodermata,KMT-2021-BLG-1150L b,Scarlet
Bryophyta,KMT-2021-BLG-1253L b,Temperate
Bryophyta,KMT-2021-BLG-1303L b,Tropical
Bryophyta,KMT-2021-BLG-1372L b,Nemoral
Angiospermae,KMT-2021-BLG-1391L b,Boreal
Platyhelminthes,KMT-2021-BLG-1547L b,Alpine
Porifera,KMT-2021-BLG-1554L b,Desert
Arthropoda,KMT-2021-BLG-1689L b,Swamp
Chordata,KMT-2021-BLG-1770L b,Desert
Porifera,KMT-2021-BLG-1898L b,Alpine
Arthropoda,KMT-2021-BLG-2010L b,Tropical
Porifera,KMT-2021-BLG-2294L b,Alpine
Annelida,KMT-2021-BLG-2478L b,Marshland
Annelida,KMT-2021-BLG-2609L b,Boreal
Chordata,KMT-2022-BLG-0303L b,Temperate
Echinodermata,KMT-2022-BLG-0371L b,Alpine
Pteridophyta,KMT-2022-BLG-0440L b,Scarlet
Pteridophyta,KMT-2022-BLG-1013L b,Desert
Angiospermae,KMT-2022-BLG-2286L b,Tropical
Pteridophyta,KMT-2023-BLG-0416L b,Boreal
Echinodermata,KMT-2023-BLG-0469L b,Boreal
Chordata,KMT-2023-BLG-0735L b,Scarlet
Chordata,KMT-2023-BLG-1431L b,Boreal
Annelida,KMT-2023-BLG-1454L b,Alpine
Annelida,KMT-2023-BLG-1642L b,Tropical
Bryophyta,KMT-2023-BLG-1743L b,Marshland
Angiospermae,KMT-2023-BLG-1866L b,Tundra
Annelida,KMT-2024-BLG-1044L b,Boreal
Arthropoda,KOI-12 b,Tundra
Echinodermata,KOI-1257 b,Tundra
Annelida,KOI-13 b,Tundra
Mollusca,KOI-142 b,Tropical
Pteridophyta,KOI-142 c,Marshland
Chordata,KOI-1599.01,Swamp
Cnidaria,KOI-1599.02,Desert
Echinodermata,KOI-1783.01,Boreal
Porifera,KOI-1783.02,Scarlet
Nematoda,KOI-1831 d,Boreal
Bryophyta,KOI-1833 d,Boreal
Chordata,KOI-217 b,Nemoral
Bryophyta,KOI-2513.01,Marshland
Bryophyta,KOI-3503 b,Tundra
Chordata,KOI-3503 c,Marshland
Bryophyta,KOI-351 b,Desert
Nematoda,KOI-351 c,Boreal
Nematoda,KOI-351 d,Alpine
Nematoda,KOI-351 e,Tropical
Echinodermata,KOI-351 f,Desert
Nematoda,KOI-351 g,Alpine
Platyhelminthes,KOI-351 h,Scarlet
Platyhelminthes,KOI-3680 b,Boreal
Bryophyta,KOI-4777.01,Scarlet
Platyhelminthes,KOI-4978 b,Tropical
Pteridophyta,KOI-55 b,Scarlet
Pteridophyta,KOI-55 c,Desert
Platyhelminthes,KOI-7368 b,Temperate
Nematoda,KOI-7913 b,Swamp
Arthropoda,KOI-94 b,Tundra
Annelida,KOI-94 c,Swamp
Angiospermae,KOI-94 d,Tundra
Arthropoda,KOI-94 e,Swamp
Chordata,KOI-984 b,Scarlet
Angiospermae,KOI-984 c,Desert
Arthropoda,KPS-1 b,Alpine
Echinodermata,Kapteyn c,Tundra
Porifera,Kepler-10 b,Boreal
Mollusca,Kepler-10 c,Tropical
Annelida,Kepler-10 d,Marshland
Cnidaria,Kepler-100 b,Boreal
Platyhelminthes,Kepler-100 c,Boreal
Mollusca,Kepler-100 d,Tropical
Angiospermae,Kepler-100 e,Desert
Angiospermae,Kepler-1000 b,Marshland
Angiospermae,Kepler-1001 b,Desert
Chordata,Kepler-1001 c,Marshland
Mollusca,Kepler-1002 b,Temperate
Chordata,Kepler-1003 b,Scarlet
Annelida,Kepler-1004 b,Swamp
Cnidaria,Kepler-1005 b,Boreal
Annelida,Kepler-1006 b,Desert
Platyhelminthes,Kepler-1007 b,Temperate
Mollusca,Kepler-1008 b,Tundra
Pteridophyta,Kepler-1009 b,Swamp
Arthropoda,Kepler-101 b,Boreal
Arthropoda,Kepler-101 c,Swamp
Platyhelminthes,Kepler-1010 b,Alpine
Cnidaria,Kepler-1011 b,Temperate
Mollusca,Kepler-1012 b,Marshland
Cnidaria,Kepler-1013 b,Alpine
Cnidaria,Kepler-1014 b,Boreal
Cnidaria,Kepler-1015 b,Scarlet
Arthropoda,Kepler-1016 b,Alpine
Angiospermae,Kepler-1016 c,Alpine
Mollusca,Kepler-1017 b,Tundra
Chordata,Kepler-1018 b,Scarlet
Platyhelminthes,Kepler-1019 b,Tropical
Angiospermae,Kepler-102 b,Desert
Nematoda,Kepler-102 c,Desert
Cnidaria,Kepler-102 d,Tundra
Platyhelminthes,Kepler-102 e,Swamp
Annelida,Kepler-102 f,Nemoral
Cnidaria,Kepler-1020 b,Tundra
Chordata,Kepler-1021 b,Tropical
Nematoda,Kepler-1022 b,Tundra
Cnidaria,Kepler-1023 b,Nemoral
Chordata,Kepler-1024 b,Marshland
Cnidaria,Kepler-1025 b,Tropical
Bryophyta,Kepler-1026 b,Alpine
Bryophyta,Kepler-1027 b,Tundra
Cnidaria,Kepler-1028 b,Marshland
Chordata,Kepler-1029 b,Nemoral
Pteridophyta,Kepler-103 b,Alpine
Annelida,Kepler-103 c,Marshland
Platyhelminthes,Kepler-1030 b,Tundra
Porifera,Kepler-1031 b,Marshland
Bryophyta,Kepler-1032 b,Tundra
Echinodermata,Kepler-1033 b,Temperate
Echinodermata,Kepler-1034 b,Alpine
Arthropoda,Kepler-1035 b,Scarlet
Annelida,Kepler-1036 b,Nemoral
Pteridophyta,Kepler-1037 b,Marshland
Echinodermata,Kepler-1038 b,Swamp
Pteridophyta,Kepler-1038 c,Marshland
Echinodermata,Kepler-1039 b,Swamp
Cnidaria,Kepler-104 b,Alpine
Pteridophyta,Kepler-104 c,Tropical
Platyhelminthes,Kepler-104 d,Marshland
Chordata,Kepler-1040 b,Scarlet
Echinodermata,Kepler-1041 b,Nemoral
Cnidaria,Kepler-1042 b,Boreal
Cnidaria,Kepler-1043 b,Scarlet
Bryophyta,Kepler-1044 b,Scarlet
Echinodermata,Kepler-1045 b,Marshland
Porifera,Kepler-1046 b,Desert
Platyhelminthes,Kepler-1047 b,Desert
Arthropoda,Kepler-1047 c,Desert
Chordata,Kepler-1048 b,Desert
Cnidaria,Kepler-1049 b,Swamp
Bryophyta,Kepler-105 b,Swamp
Echinodermata,Kepler-105 c,Alpine
Echinodermata,Kepler-1050 b,Nemoral
Nematoda,Kepler-1050 c,Marshland
Bryophyta,Kepler-1051 b,Alpine
Bryophyta,Kepler-1052 b,Nemoral
Annelida,Kepler-1052 c,Boreal
Pteridophyta,Kepler-1053 b,Boreal
Platyhelminthes,Kepler-1054 b,Boreal
Arthropoda,Kepler-1055 b,Swamp
Platyhelminthes,Kepler-1056 b,Temperate
Echinodermata,Kepler-1057 b,Tropical
Nematoda,Kepler-1058 b,Tundra
Annelida,Kepler-1059 b,Tundra
Cnidaria,Kepler-106 b,Alpine
Angiospermae,Kepler-106 c,Tundra
Bryophyta,Kepler-106 d,Tropical
Pteridophyta,Kepler-106 e,Swamp
Arthropoda,Kepler-1060 b,Tundra
Mollusca,Kepler-1061 b,Swamp
Arthropoda,Kepler-1062 b,Marshland
Annelida,Kepler-1063 b,Boreal
Pteridophyta,Kepler-1064 b,Alpine
Cnidaria,Kepler-1065 b,Boreal
Platyhelminthes,Kepler-1065 c,Desert
Pteridophyta,Kepler-1066 b,Boreal
Bryophyta,Kepler-1067 b,Swamp
Nematoda,Kepler-1067 c,Tropical
Chordata,Kepler-1068 b,Alpine
Bryophyta,Kepler-1069 b,Scarlet
Porifera,Kepler-107 b,Boreal
Arthropoda,Kepler-107 c,Tundra
Porifera,Kepler-107 d,Alpine
Chordata,Kepler-107 e,Marshland
Arthropoda,Kepler-1070 b,Nemoral
Mollusca,Kepler-1071 b,Swamp
Annelida,Kepler-1072 b,Boreal
Cnidaria,Kepler-1073 b,Tropical
Bryophyta,Kepler-1073 c,Tropical
Angiospermae,Kepler-1073 d,Tundra
Pteridophyta,Kepler-1074 b,Swamp
Annelida,Kepler-1075 b,Scarlet
Angiospermae,Kepler-1076 b,Desert
Mollusca,Kepler-1077 b,Desert
Platyhelminthes,Kepler-1078 b,Alpine
Annelida,Kepler-1079 b,Temperate
Chordata,Kepler-108 b,Tropical
Mollusca,Kepler-108 c,Scarlet
Bryophyta,Kepler-1080 b,Tropical
Pteridophyta,Kepler-1081 b,Nemoral
Pteridophyta,Kepler-1082 b,Scarlet
Bryophyta,Kepler-1083 b,Boreal
Bryophyta,Kepler-1084 b,Marshland
Bryophyta,Kepler-1085 b,Alpine
Mollusca,Kepler-1085 c,Tundra
Platyhelminthes,Kepler-1086 b,Tundra
Platyhelminthes,Kepler-1086 c,Marshland
Mollusca,Kepler-1087 b,Boreal
Annelida,Kepler-1088 b,Swamp
Arthropoda,Kepler-1089 b,Temperate
Nematoda,Kepler-109 b,Desert
Platyhelminthes,Kepler-109 c,Scarlet
Chordata,Kepler-1090 b,Boreal
Platyhelminthes,Kepler-1090 c,Alpine
Cnidaria,Kepler-1091 b,Desert
Cnidaria,Kepler-1092 b,Marshland
Mollusca,Kepler-1093 b,Boreal
Chordata,Kepler-1093 c,Marshland
Porifera,Kepler-1094 b,Desert
Platyhelminthes,Kepler-1095 b,Swamp
Arthropoda,Kepler-1096 b,Nemoral
Arthropoda,Kepler-1097 b,Scarlet
Cnidaria,Kepler-1098 b,Desert
Pteridophyta,Kepler-1099 b,Nemoral
Porifera,Kepler-11 b,Tundra
Cnidaria,Kepler-11 c,Swamp
Arthropoda,Kepler-11 d,Alpine
Annelida,Kepler-11 e,Desert
Cnidaria,Kepler-11 f,Tropical
Cnidaria,Kepler-11 g,Swamp
Nematoda,Kepler-110 b,Marshland
Platyhelminthes,Kepler-110 c,Scarlet
Bryophyta,Kepler-1100 b,Scarlet
Annelida,Kepler-1101 b,Marshland
Platyhelminthes,Kepler-1102 b,Tundra
Arthropoda,Kepler-1103 b,Tundra
Nematoda,Kepler-1104 b,Swamp
Chordata,Kepler-1105 b,Scarlet
Angiospermae,Kepler-1106 b,Temperate
Chordata,Kepler-1107 b,Swamp
Cnidaria,Kepler-1108 b,Swamp
Chordata,Kepler-1109 b,Tundra
Annelida,Kepler-111 b,Boreal
Arthropoda,Kepler-111 c,Desert
Pteridophyta,Kepler-1110 b,Scarlet
Mollusca,Kepler-1111 b,Tundra
Arthropoda,Kepler-1112 b,Temperate
Platyhelminthes,Kepler-1113 b,Tundra
Cnidaria,Kepler-1114 b,Tropical
Angiospermae,Kepler-1115 b,Swamp
Annelida,Kepler-1116 b,Marshland
Bryophyta,Kepler-1117 b,Desert
Echinodermata,Kepler-1118 b,Boreal
Arthropoda,Kepler-1119 b,Temperate
Cnidaria,Kepler-112 b,Scarlet
Pteridophyta,Kepler-112 c,Tundra
Porifera,Kepler-1120 b,Nemoral
Echinodermata,Kepler-1121 b,Scarlet
Porifera,Kepler-1122 b,Marshland
Nematoda,Kepler-1123 b,Marshland
Platyhelminthes,Kepler-1124 b,Nemoral
Mollusca,Kepler-1125 b,Nemoral
Arthropoda,Kepler-1126 b,Desert
Annelida,Kepler-1126 c,Desert
Bryophyta,Kepler-1127 b,Tropical
Bryophyta,Kepler-1128 b,Scarlet
Chordata,Kepler-1129 b,Scarlet
Echinodermata,Kepler-1129 c,Swamp
Cnidaria,Kepler-113 b,Tundra
Chordata,Kepler-113 c,Tropical
Chordata,Kepler-1130 b,Marshland
Arthropoda,Kepler-1130 c,Nemoral
Echinodermata,Kepler-1130 d,Scarlet
Bryophyta,Kepler-1131 b,Alpine
Cnidaria,Kepler-1132 b,Swamp
Arthropoda,Kepler-1133 b,Scarlet
Platyhelminthes,Kepler-1134 b,Alpine
Mollusca,Kepler-1135 b,Temperate
Angiospermae,Kepler-1136 b,Tropical
Angiospermae,Kepler-1137 b,Nemoral
Cnidaria,Kepler-1138 b,Desert
Chordata,Kepler-1139 b,Marshland
Echinodermata,Kepler-114 b,Desert
Arthropoda,Kepler-114 c,Tropical
Chordata,Kepler-114 d,Tropical
Mollusca,Kepler-1140 b,Tundra
Pteridophyta,Kepler-1141 b,Tundra
Nematoda,Kepler-1142 b,Temperate
Nematoda,Kepler-1143 b,Scarlet
Annelida,Kepler-1143 c,Tundra
Echinodermata,Kepler-1144 b,Boreal
Annelida,Kepler-1145 b,Tundra
Chordata,Kepler-1146 b,Scarlet
Pteridophyta,Kepler-1147 b,Swamp
Cnidaria,Kepler-1148 b,Boreal
Mollusca,Kepler-1149 b,Swamp
Echinodermata,Kepler-115 b,Desert
Cnidaria,Kepler-115 c,Swamp
Mollusca,Kepler-1150 b,Scarlet
Nematoda,Kepler-1151 b,Alpine
Chordata,Kepler-1152 b,Tundra
Porifera,Kepler-1153 b,Boreal
Nematoda,Kepler-1154 b,Tropical
Annelida,Kepler-1154 c,Tundra
Nematoda,Kepler-1155 b,Nemoral
Platyhelminthes,Kepler-1156 b,Desert
Nematoda,Kepler-1157 b,Boreal
Annelida,Kepler-1158 b,Tundra
Pteridophyta,Kepler-1159 b,Boreal
Echinodermata,Kepler-116 b,Swamp
Mollusca,Kepler-116 c,Alpine
Cnidaria,Kepler-1160 b,Tundra
Platyhelminthes,Kepler-1161 b,Desert
Bryophyta,Kepler-1162 b,Marshland
Cnidaria,Kepler-1162 c,Nemoral
Pteridophyta,Kepler-1163 b,Boreal
Chordata,Kepler-1164 b,Marshland
Angiospermae,Kepler-1165 b,Temperate
Cnidaria,Kepler-1165 c,Boreal
Angiospermae,Kepler-1166 b,Scarlet
Chordata,Kepler-1167 b,Alpine
Nematoda,Kepler-1168 b,Alpine
Echinodermata,Kepler-1169 b,Nemoral
Chordata,Kepler-117 b,Marshland
Chordata,Kepler-117 c,Desert
Nematoda,Kepler-1170 b,Tundra
Platyhelminthes,Kepler-1171 b,Tundra
Pteridophyta,Kepler-1172 b,Tundra
Echinodermata,Kepler-1173 b,Desert
Platyhelminthes,Kepler-1174 b,Scarlet
Arthropoda,Kepler-1175 b,Desert
Bryophyta,Kepler-1176 b,Alpine
Echinodermata,Kepler-1177 b,Tropical
Cnidaria,Kepler-1178 b,Boreal
Pteridophyta,Kepler-1179 b,Scarlet
Annelida,Kepler-118 b,Boreal
Porifera,Kepler-118 c,Tropical
Platyhelminthes,Kepler-1180 b,Marshland
Mollusca,Kepler-1181 b,Tundra
Pteridophyta,Kepler-1181 c,Tropical
Echinodermata,Kepler-1182 b,Boreal
Platyhelminthes,Kepler-1183 b,Alpine
Annelida,Kepler-1184 b,Boreal
Bryophyta,Kepler-1185 b,Alpine
Nematoda,Kepler-1186 b,Swamp
Angiospermae,Kepler-1187 b,Tropical
Platyhelminthes,Kepler-1188 b,Swamp
Echinodermata,Kepler-1189 b,Swamp
Pteridophyta,Kepler-119 b,Marshland
Cnidaria,Kepler-119 c,Nemoral
Pteridophyta,Kepler-1190 b,Boreal
Arthropoda,Kepler-1191 b,Alpine
Echinodermata,Kepler-1192 b,Boreal
Nematoda,Kepler-1193 b,Alpine
Cnidaria,Kepler-1194 b,Boreal
Cnidaria,Kepler-1195 b,Temperate
Arthropoda,Kepler-1196 b,Tundra
Arthropoda,Kepler-1197 b,Marshland
Pteridophyta,Kepler-1198 b,Scarlet
Angiospermae,Kepler-1199 b,Swamp
Chordata,Kepler-12 b,Swamp
Annelida,Kepler-120 b,Scarlet
Arthropoda,Kepler-120 c,Desert
Annelida,Kepler-1200 b,Marshland
Platyhelminthes,Kepler-1201 b,Nemoral
Porifera,Kepler-1202 b,Temperate
Annelida,Kepler-1203 b,Tropical
Chordata,Kepler-1204 b,Alpine
Chordata,Kepler-1205 b,Tundra
Platyhelminthes,Kepler-1206 b,Boreal
Annelida,Kepler-1207 b,Scarlet
Cnidaria,Kepler-1208 b,Scarlet
Mollusca,Kepler-1209 b,Alpine
Arthropoda,Kepler-121 b,Swamp
Porifera,Kepler-121 c,Marshland
Arthropoda,Kepler-1210 b,Alpine
Arthropoda,Kepler-1211 b,Boreal
Arthropoda,Kepler-1212 b,Tundra
Chordata,Kepler-1213 b,Nemoral
Echinodermata,Kepler-1214 b,Desert
Annelida,Kepler-1215 b,Tundra
Echinodermata,Kepler-1216 b,Tundra
Cnidaria,Kepler-1217 b,Tundra
Echinodermata,Kepler-1218 b,Swamp
Bryophyta,Kepler-1219 b,Temperate
Cnidaria,Kepler-122 b,Boreal
Pteridophyta,Kepler-122 c,Scarlet
Angiospermae,Kepler-122 d,Tundra
Platyhelminthes,Kepler-122 e,Nemoral
Mollusca,Kepler-122 f,Marshland
Mollusca,Kepler-1220 b,Temperate
Pteridophyta,Kepler-1221 b,Swamp
Echinodermata,Kepler-1222 b,Desert
Chordata,Kepler-1223 b,Marshland
Annelida,Kepler-1224 b,Desert
Echinodermata,Kepler-1225 b,Marshland
Chordata,Kepler-1226 b,Scarlet
Arthropoda,Kepler-1227 b,Tundra
Chordata,Kepler-1228 b,Desert
Annelida,Kepler-1229 b,Desert
Chordata,Kepler-123 b,Desert
Arthropoda,Kepler-123 c,Marshland
Platyhelminthes,Kepler-1230 b,Scarlet
Porifera,Kepler-1231 b,Marshland
Bryophyta,Kepler-1232 b,Tropical
Echinodermata,Kepler-1233 b,Tundra
Annelida,Kepler-1234 b,Desert
Echinodermata,Kepler-1235 b,Marshland
Annelida,Kepler-1236 b,Swamp
Arthropoda,Kepler-1237 b,Swamp
Mollusca,Kepler-1238 b,Scarlet
Cnidaria,Kepler-1239 b,Boreal
Chordata,Kepler-124 b,Marshland
Cnidaria,Kepler-124 c,Tropical
Echinodermata,Kepler-124 d,Boreal
Annelida,Kepler-1240 b,Desert
Nematoda,Kepler-1241 b,Boreal
Annelida,Kepler-1242 b,Swamp
Mollusca,Kepler-1243 b,Tundra
Bryophyta,Kepler-1244 b,Boreal
Cnidaria,Kepler-1245 b,Scarlet
Echinodermata,Kepler-1245 c,Desert
Pteridophyta,Kepler-1246 b,Scarlet
Arthropoda,Kepler-1247 b,Marshland
Bryophyta,Kepler-1248 b,Boreal
Chordata,Kepler-1249 b,Scarlet
Echinodermata,Kepler-125 b,Swamp
Platyhelminthes,Kepler-125 c,Boreal
Nematoda,Kepler-1250 b,Nemoral
Bryophyta,Kepler-1251 b,Alpine
Mollusca,Kepler-1252 b,Nemoral
Nematoda,Kepler-1253 b,Temperate
Nematoda,Kepler-1254 b,Scarlet
Platyhelminthes,Kepler-1254 c,Desert
Annelida,Kepler-1254 d,Swamp
Mollusca,Kepler-1255 b,Temperate
Mollusca,Kepler-1256 b,Alpine
Cnidaria,Kepler-1257 b,Tundra
Arthropoda,Kepler-1258 b,Tundra
Cnidaria,Kepler-1259 b,Tundra
Mollusca,Kepler-126 b,Temperate
Cnidaria,Kepler-126 c,Boreal
Annelida,Kepler-126 d,Boreal
Arthropoda,Kepler-1260 b,Swamp
Platyhelminthes,Kepler-1261 b,Swamp
Mollusca,Kepler-1262 b,Desert
Cnidaria,Kepler-1263 b,Temperate
Arthropoda,Kepler-1264 b,Swamp
Mollusca,Kepler-1265 b,Tundra
Mollusca,Kepler-1266 b,Scarlet
Chordata,Kepler-1266 c,Scarlet
Bryophyta,Kepler-1267 b,Tundra
Pteridophyta,Kepler-1268 b,Swamp
Chordata,Kepler-1269 b,Scarlet
Chordata,Kepler-127 b,Swamp
Pteridophyta,Kepler-127 c,Tundra
Chordata,Kepler-127 d,Marshland
Annelida,Kepler-1270 b,Scarlet
Platyhelminthes,Kepler-1271 b,Swamp
Pteridophyta,Kepler-1272 b,Tundra
Annelida,Kepler-1273 b,Tropical
Angiospermae,Kepler-1274 b,Swamp
Platyhelminthes,Kepler-1275 b,Nemoral
Platyhelminthes,Kepler-1276 b,Temperate
Echinodermata,Kepler-1277 b,Scarlet
Pteridophyta,Kepler-1278 b,Tundra
Annelida,Kepler-1279 b,Marshland
Pteridophyta,Kepler-128 b,Scarlet
Cnidaria,Kepler-128 c,Tropical
Echinodermata,Kepler-1280 b,Desert
Cnidaria,Kepler-1281 b,Alpine
Bryophyta,Kepler-1282 b,Nemoral
Pteridophyta,Kepler-1283 b,Scarlet
Bryophyta,Kepler-1284 b,Scarlet
Echinodermata,Kepler-1285 b,Tundra
Chordata,Kepler-1286 b,Alpine
Nematoda,Kepler-1287 b,Tundra
Mollusca,Kepler-1288 b,Desert
Cnidaria,Kepler-1289 b,Scarlet
Annelida,Kepler-129 b,Marshland
Arthropoda,Kepler-129 c,Swamp
Chordata,Kepler-129 d,Swamp
Echinodermata,Kepler-1290 b,Temperate
Echinodermata,Kepler-1291 b,Alpine
Mollusca,Kepler-1292 b,Alpine
Echinodermata,Kepler-1293 b,Alpine
Cnidaria,Kepler-1294 b,Desert
Echinodermata,Kepler-1295 b,Scarlet
Mollusca,Kepler-1296 b,Marshland
Porifera,Kepler-1297 b,Temperate
Echinodermata,Kepler-1298 b,Marshland
Porifera,Kepler-1299 b,Scarlet
Platyhelminthes,Kepler-130 b,Scarlet
Arthropoda,Kepler-130 c,Marshland
Porifera,Kepler-130 d,Nemoral
Chordata,Kepler-1300 b,Alpine
Angiospermae,Kepler-1301 b,Tropical
Angiospermae,Kepler-1302 b,Desert
Platyhelminthes,Kepler-1303 b,Boreal
Bryophyta,Kepler-1304 b,Boreal
Annelida,Kepler-1305 b,Desert
Platyhelminthes,Kepler-1306 b,Tropical
Chordata,Kepler-1307 b,Nemoral
Cnidaria,Kepler-1308 b,Desert
Echinodermata,Kepler-1309 b,Desert
Echinodermata,Kepler-131 b,Tropical
Pteridophyta,Kepler-131 c,Alpine
Pteridophyta,Kepler-1310 b,Boreal
Pteridophyta,Kepler-1311 b,Tropical
Cnidaria,Kepler-1311 c,Swamp
Chordata,Kepler-1311 d,Desert
Echinodermata,Kepler-1312 b,Tundra
Platyhelminthes,Kepler-1312 c,Tundra
Nematoda,Kepler-1313 b,Boreal
Nematoda,Kepler-1314 b,Marshland
Platyhelminthes,Kepler-1315 b,Swamp
Chordata,Kepler-1315 c,Boreal
Pteridophyta,Kepler-1316 b,Boreal
Annelida,Kepler-1317 b,Alpine
Angiospermae,Kepler-1318 b,Tundra
Mollusca,Kepler-1319 b,Desert
Mollusca,Kepler-132 b,Temperate
Cnidaria,Kepler-132 c,Scarlet
Pteridophyta,Kepler-132 d,Tundra
Echinodermata,Kepler-132 e,Scarlet
Mollusca,Kepler-1320 b,Marshland
Chordata,Kepler-1321 b,Nemoral
Chordata,Kepler-1321 c,Swamp
Platyhelminthes,Kepler-1321 d,Tropical
Angiospermae,Kepler-1322 b,Tropical
Platyhelminthes,Kepler-1322 c,Marshland
Bryophyta,Kepler-1323 b,Alpine
Cnidaria,Kepler-1324 b,Tropical
Pteridophyta,Kepler-1325 b,Tundra
Nematoda,Kepler-1326 b,Scarlet
Arthropoda,Kepler-1327 b,Alpine
Arthropoda,Kepler-1328 b,Tundra
Platyhelminthes,Kepler-1329 b,Alpine
Cnidaria,Kepler-133 b,Marshland
Platyhelminthes,Kepler-133 c,Marshland
Arthropoda,Kepler-1330 b,Tundra
Annelida,Kepler-1331 b,Boreal
Angiospermae,Kepler-1332 b,Boreal
Mollusca,Kepler-1333 b,Scarlet
Platyhelminthes,Kepler-1334 b,Scarlet
Arthropoda,Kepler-1335 b,Marshland
Cnidaria,Kepler-1336 b,Marshland
Cnidaria,Kepler-1336 c,Boreal
Annelida,Kepler-1337 b,Tropical
Cnidaria,Kepler-1338 b,Swamp
Arthropoda,Kepler-1339 b,Alpine
Pteridophyta,Kepler-134 b,Desert
Echinodermata,Kepler-134 c,Tropical
Porifera,Kepler-1340 b,Desert
Platyhelminthes,Kepler-1341 b,Scarlet
Chordata,Kepler-1342 b,Boreal
Platyhelminthes,Kepler-1343 b,Alpine
Angiospermae,Kepler-1344 b,Alpine
Platyhelminthes,Kepler-1345 b,Tundra
Mollusca,Kepler-1346 b,Boreal
Platyhelminthes,Kepler-1347 b,Scarlet
Echinodermata,Kepler-1348 b,Tropical
Pteridophyta,Kepler-1349 b,Swamp
Annelida,Kepler-135 b,Swamp
Annelida,Kepler-135 c,Alpine
Cnidaria,Kepler-1350 b,Alpine
Cnidaria,Kepler-1350 c,Tundra
Annelida,Kepler-1351 b,Scarlet
Pteridophyta,Kepler-1352 b,Scarlet
Echinodermata,Kepler-1353 b,Boreal
Chordata,Kepler-1354 b,Boreal
Angiospermae,Kepler-1355 b,Tundra
Arthropoda,Kepler-1356 b,Boreal
Pteridophyta,Kepler-1357 b,Tundra
Annelida,Kepler-1358 b,Boreal
Nematoda,Kepler-1359 b,Tundra
Echinodermata,Kepler-136 b,Scarlet
Cnidaria,Kepler-136 c,Tropical
Mollusca,Kepler-1360 b,Swamp
Arthropoda,Kepler-1361 b,Tropical
Pteridophyta,Kepler-1362 b,Alpine
Chordata,Kepler-1363 b,Marshland
Bryophyta,Kepler-1364 b,Tundra
Bryophyta,Kepler-1365 b,Scarlet
Echinodermata,Kepler-1365 c,Nemoral
Bryophyta,Kepler-1366 b,Alpine
Platyhelminthes,Kepler-1367 b,Swamp
Bryophyta,Kepler-1368 b,Swamp
Mollusca,Kepler-1369 b,Nemoral
Cnidaria,Kepler-137 b,Boreal
Angiospermae,Kepler-137 c,Temperate
Chordata,Kepler-1370 b,Nemoral
Cnidaria,Kepler-1370 c,Desert
Annelida,Kepler-1371 b,Scarlet
Platyhelminthes,Kepler-1371 c,Swamp
Porifera,Kepler-1372 b,Boreal
Porifera,Kepler-1373 b,Marshland
Platyhelminthes,Kepler-1374 b,Tropical
Porifera,Kepler-1375 b,Tundra
Cnidaria,Kepler-1376 b,Desert
Cnidaria,Kepler-1377 b,Swamp
Mollusca,Kepler-1378 b,Desert
Nematoda,Kepler-1379 b,Scarlet
Platyhelminthes,Kepler-138 b,Nemoral
Bryophyta,Kepler-138 c,Scarlet
Mollusca,Kepler-138 d,Alpine
Mollusca,Kepler-138 e,Tundra
Bryophyta,Kepler-1380 b,Temperate
Nematoda,Kepler-1381 b,Swamp
Mollusca,Kepler-1382 b,Tropical
Cnidaria,Kepler-1383 b,Tropical
Cnidaria,Kepler-1384 b,Tundra
Angiospermae,Kepler-1385 b,Scarlet
Pteridophyta,Kepler-1386 b,Boreal
Echinodermata,Kepler-1387 b,Tropical
Cnidaria,Kepler-1388 b,Swamp
Echinodermata,Kepler-1388 c,Alpine
Mollusca,Kepler-1388 d,Tropical
Arthropoda,Kepler-1388 e,Swamp
Annelida,Kepler-1389 b,Desert
Bryophyta,Kepler-139 b,Scarlet
Platyhelminthes,Kepler-139 c,Boreal
Echinodermata,Kepler-139 d,Boreal
Echinodermata,Kepler-139 e,Desert
