Planet Name,Planet Radius [Earth Radius],Duration of a day (hours),Planetary Type,Has Biosphere,Discovery Year,Star Name
Kepler-1856 b,1.734,15.06,Ice Giant,0,2021,Kepler-1856
Kepler-1857 b,1.961,57.74,Dwarf Planet,1,2021,Kepler-1857
Kepler-1858 b,2.422,0.88,Ice Giant,0,2021,Kepler-1858
Kepler-1859 b,1.583,82.78,Proto Planet,0,2021,Kepler-1859
Kepler-1859 c,1.66,121.73,Chthonian Planet,1,2023,Kepler-1859
Kepler-186 b,1.07,28.5,Proto Planet,1,2014,Kepler-186
Kepler-186 c,1.25,30.19,Proto Planet,0,2014,Kepler-186
Kepler-186 d,1.4,5.63,Proto Planet,0,2014,Kepler-186
Kepler-186 e,1.27,16.51,Gas Giant,1,2014,Kepler-186
Kepler-186 f,1.17,3.34,Dwarf Planet,0,2014,Kepler-186
Kepler-1860 b,1.139,12.11,Gas Giant,1,2021,Kepler-1860
Kepler-1861 b,2.207,18.43,Chthonian Planet,0,2021,Kepler-1861
Kepler-1862 b,2.203,26.67,Dwarf Planet,1,2021,Kepler-1862
Kepler-1863 b,2.263,49.14,Garden World,1,2021,Kepler-1863
Kepler-1864 b,0.754,115.02,Dwarf Planet,1,2021,Kepler-1864
Kepler-1865 b,1.577,121.11,Ice Giant,1,2021,Kepler-1865
Kepler-1866 b,2.082,61.62,Ice Giant,1,2021,Kepler-1866
Kepler-1867 b,1.16,1.93,Gas Giant,1,2021,Kepler-1867
Kepler-1868 b,3.15,28.84,Dwarf Planet,1,2021,Kepler-1868
Kepler-1869 b,1.12,34.36,Dwarf Planet,0,2021,Kepler-1869
Kepler-1869 c,0.74,33.15,Ice Giant,0,2023,Kepler-1869
Kepler-187 b,1.41,38.21,Garden World,1,2014,Kepler-187
Kepler-187 c,2.67,80.65,Dwarf Planet,0,2014,Kepler-187
Kepler-1870 b,2.101,48.69,Gas Giant,1,2021,Kepler-1870
Kepler-1871 b,2.422,18.96,Dwarf Planet,0,2021,Kepler-1871
Kepler-1872 b,2.384,67.28,Proto Planet,1,2021,Kepler-1872
Kepler-1873 b,1.626,109.38,Dwarf Planet,0,2021,Kepler-1873
Kepler-1874 b,2.211,10.53,Proto Planet,0,2021,Kepler-1874
Kepler-1875 b,3.227,66.1,Gas Giant,0,2021,Kepler-1875
Kepler-1876 b,0.853,82.35,Chthonian Planet,0,2021,Kepler-1876
Kepler-1877 b,0.624,72.26,Dwarf Planet,0,2021,Kepler-1877
Kepler-1878 b,2.92,107.54,Gas Giant,0,2021,Kepler-1878
Kepler-1879 b,2.065,83.39,Ice Giant,0,2021,Kepler-1879
Kepler-188 b,1.68,19.19,Gas Giant,0,2014,Kepler-188
Kepler-188 c,3.19,10.26,Chthonian Planet,1,2014,Kepler-188
Kepler-1880 b,2.117,24.65,Garden World,1,2021,Kepler-1880
Kepler-1881 b,2.981,21,Ice Giant,1,2021,Kepler-1881
Kepler-1882 b,1.487,75.89,Gas Giant,0,2021,Kepler-1882
Kepler-1883 b,3.251,116.44,Chthonian Planet,0,2021,Kepler-1883
Kepler-1884 b,1.814,22.08,Chthonian Planet,0,2021,Kepler-1884
Kepler-1885 b,1.511,8.65,Ice Giant,1,2021,Kepler-1885
Kepler-1886 b,2.582,108.61,Ice Giant,0,2021,Kepler-1886
Kepler-1887 b,2.925,105.17,Chthonian Planet,0,2021,Kepler-1887
Kepler-1888 b,1.326,18.79,Gas Giant,0,2021,Kepler-1888
Kepler-1889 b,2.944,5.69,Gas Giant,1,2021,Kepler-1889
Kepler-189 b,1.21,31.69,Ice Giant,1,2014,Kepler-189
Kepler-189 c,2.38,18.79,Ice Giant,1,2014,Kepler-189
Kepler-1890 b,0.869,18.43,Gas Giant,1,2021,Kepler-1890
Kepler-1891 b,1.521,96.61,Garden World,0,2021,Kepler-1891
Kepler-1892 b,1.837,20.21,Garden World,0,2021,Kepler-1892
Kepler-1893 b,1.706,100.95,Ice Giant,1,2021,Kepler-1893
Kepler-1894 b,1.201,68.85,Garden World,1,2021,Kepler-1894
Kepler-1894 c,1.21,102.85,Dwarf Planet,0,2023,Kepler-1894
Kepler-1895 b,2.119,61.26,Garden World,0,2021,Kepler-1895
Kepler-1896 b,3.099,107.58,Gas Giant,0,2021,Kepler-1896
Kepler-1897 b,2.814,116.96,Chthonian Planet,0,2021,Kepler-1897
Kepler-1898 b,0.934,50.12,Proto Planet,1,2021,Kepler-1898
Kepler-1899 b,1.551,9.78,Dwarf Planet,0,2021,Kepler-1899
Kepler-19 b,2.209,41.15,Dwarf Planet,0,2011,Kepler-19
Kepler-19 c,3.68,84.47,Ice Giant,1,2011,Kepler-19
Kepler-19 d,5.06,4.13,Dwarf Planet,1,2017,Kepler-19
Kepler-190 b,1.56,115.84,Gas Giant,1,2014,Kepler-190
Kepler-190 c,1.46,30.44,Garden World,1,2014,Kepler-190
Kepler-1900 b,1.623,22.43,Proto Planet,1,2021,Kepler-1900
Kepler-1901 b,1.474,2.05,Ice Giant,0,2021,Kepler-1901
Kepler-1902 b,1.176,54.93,Proto Planet,1,2021,Kepler-1902
Kepler-1903 b,2.286,73.22,Ice Giant,0,2021,Kepler-1903
Kepler-1904 b,1.39,27.94,Dwarf Planet,1,2021,Kepler-1904
Kepler-1905 b,1.446,46.25,Gas Giant,0,2021,Kepler-1905
Kepler-1906 b,2.776,114,Dwarf Planet,1,2021,Kepler-1906
Kepler-1907 b,0.87,78.34,Ice Giant,0,2021,Kepler-1907
Kepler-1907 c,1.155,45.19,Gas Giant,0,2021,Kepler-1907
Kepler-1909 b,1.092,85.99,Chthonian Planet,0,2021,Kepler-1909
Kepler-191 b,1.34,94.75,Dwarf Planet,0,2014,Kepler-191
Kepler-191 c,1.86,25.82,Dwarf Planet,1,2014,Kepler-191
Kepler-191 d,2.28,72.39,Dwarf Planet,1,2016,Kepler-191
Kepler-1910 b,1.184,56.68,Gas Giant,0,2021,Kepler-1910
Kepler-1911 b,1.011,115.26,Chthonian Planet,0,2021,Kepler-1911
Kepler-1912 b,1.357,3.22,Ice Giant,1,2021,Kepler-1912
Kepler-1913 b,1.519,112.4,Chthonian Planet,1,2021,Kepler-1913
Kepler-1914 b,2.943,94.58,Gas Giant,0,2021,Kepler-1914
Kepler-1915 b,3.218,64,Ice Giant,0,2021,Kepler-1915
Kepler-1916 b,2.618,85.76,Gas Giant,1,2021,Kepler-1916
Kepler-1917 b,1.89,6.44,Dwarf Planet,0,2021,Kepler-1917
Kepler-1918 b,2.298,6.75,Gas Giant,1,2021,Kepler-1918
Kepler-1919 b,2.624,88.46,Gas Giant,1,2021,Kepler-1919
Kepler-192 b,2.74,9.22,Garden World,0,2014,Kepler-192
Kepler-192 c,2.79,73.07,Gas Giant,0,2014,Kepler-192
Kepler-192 d,1.02,100.79,Dwarf Planet,0,2016,Kepler-192
Kepler-1920 b,2.954,7.22,Dwarf Planet,1,2021,Kepler-1920
Kepler-1921 b,2.895,64.66,Proto Planet,0,2021,Kepler-1921
Kepler-1921 c,1.41,70.04,Dwarf Planet,1,2023,Kepler-1921
Kepler-1922 b,2.291,14.3,Gas Giant,0,2021,Kepler-1922
Kepler-1923 b,1.96,93.53,Garden World,0,2021,Kepler-1923
Kepler-1924 b,2.654,41.38,Garden World,0,2021,Kepler-1924
Kepler-1925 b,3.002,122.96,Ice Giant,0,2021,Kepler-1925
Kepler-1926 b,2.315,64.46,Dwarf Planet,0,2021,Kepler-1926
Kepler-1927 b,3.406,67.89,Proto Planet,1,2021,Kepler-1927
Kepler-1928 b,1.992,68.19,Proto Planet,1,2021,Kepler-1928
Kepler-1929 b,3.073,76.09,Dwarf Planet,1,2021,Kepler-1929
Kepler-193 b,2.39,75.77,Dwarf Planet,0,2014,Kepler-193
Kepler-193 c,2.75,29.19,Chthonian Planet,0,2014,Kepler-193
Kepler-1930 b,1.53,25.04,Gas Giant,0,2021,Kepler-1930
Kepler-1931 b,2.653,104.67,Proto Planet,1,2021,Kepler-1931
Kepler-1932 b,1.515,21.73,Gas Giant,0,2021,Kepler-1932
Kepler-1933 b,1.18,111.68,Gas Giant,1,2021,Kepler-1933
Kepler-1934 b,0.913,122.85,Proto Planet,0,2021,Kepler-1934
Kepler-1935 b,2.503,37.81,Chthonian Planet,0,2021,Kepler-1935
Kepler-1936 b,3.166,61.64,Gas Giant,1,2021,Kepler-1936
Kepler-1937 b,3.023,93.33,Ice Giant,0,2021,Kepler-1937
Kepler-1938 b,1.828,118.33,Garden World,1,2021,Kepler-1938
Kepler-1939 b,1.165,90.48,Proto Planet,1,2021,Kepler-1939
Kepler-194 b,1.51,3.74,Gas Giant,1,2014,Kepler-194
Kepler-194 c,2.59,1.59,Proto Planet,1,2014,Kepler-194
Kepler-194 d,2.4,64.95,Ice Giant,0,2014,Kepler-194
Kepler-1940 b,1.547,22.63,Garden World,1,2021,Kepler-1940
Kepler-1941 b,2.65,19.01,Gas Giant,0,2021,Kepler-1941
Kepler-1942 b,2.117,5.05,Dwarf Planet,1,2021,Kepler-1942
Kepler-1943 b,1.549,23.77,Ice Giant,0,2021,Kepler-1943
Kepler-1944 b,2.76,108.96,Ice Giant,0,2021,Kepler-1944
Kepler-1945 b,1.289,48.49,Dwarf Planet,0,2021,Kepler-1945
Kepler-1946 b,2.488,36.41,Dwarf Planet,0,2021,Kepler-1946
Kepler-1947 b,1.01,83.69,Ice Giant,0,2021,Kepler-1947
Kepler-1948 b,1.033,67.23,Garden World,0,2021,Kepler-1948
Kepler-1949 b,2.22,92.71,Dwarf Planet,0,2021,Kepler-1949
Kepler-195 b,2.03,54.82,Garden World,1,2014,Kepler-195
Kepler-195 c,1.55,24.56,Chthonian Planet,0,2014,Kepler-195
Kepler-1950 b,1.527,42.62,Gas Giant,1,2021,Kepler-1950
Kepler-1951 b,2.321,1.34,Ice Giant,0,2021,Kepler-1951
Kepler-1952 b,1.239,55.43,Gas Giant,1,2021,Kepler-1952
Kepler-1953 b,1.286,100.13,Ice Giant,0,2021,Kepler-1953
Kepler-1954 b,1.802,46.56,Gas Giant,1,2021,Kepler-1954
Kepler-1955 b,1.167,48.59,Ice Giant,0,2021,Kepler-1955
Kepler-1956 b,1.089,12.75,Proto Planet,0,2021,Kepler-1956
Kepler-1957 b,0.944,120.67,Dwarf Planet,1,2021,Kepler-1957
Kepler-1958 b,2.051,99.43,Garden World,1,2021,Kepler-1958
Kepler-1959 b,1.143,58.51,Proto Planet,1,2021,Kepler-1959
Kepler-196 b,1.9,95.84,Chthonian Planet,0,2014,Kepler-196
Kepler-196 c,2.24,68.31,Proto Planet,0,2014,Kepler-196
Kepler-196 d,2.661,105.13,Proto Planet,0,2021,Kepler-196
Kepler-1960 b,1.307,119.24,Dwarf Planet,1,2021,Kepler-1960
Kepler-1961 b,1.619,115.24,Garden World,1,2021,Kepler-1961
Kepler-1962 b,1.215,102.27,Proto Planet,1,2021,Kepler-1962
Kepler-1963 b,0.744,55.58,Garden World,1,2021,Kepler-1963
Kepler-1964 b,1.781,120.14,Gas Giant,0,2021,Kepler-1964
Kepler-1965 b,1.354,31.31,Garden World,0,2021,Kepler-1965
Kepler-1966 b,1.105,71.58,Ice Giant,1,2021,Kepler-1966
Kepler-1967 b,0.73,29.72,Chthonian Planet,0,2021,Kepler-1967
Kepler-1968 b,1.5,22.86,Proto Planet,0,2021,Kepler-1968
Kepler-1969 b,1.682,91.19,Gas Giant,0,2021,Kepler-1969
Kepler-197 b,1.02,48.68,Dwarf Planet,1,2014,Kepler-197
Kepler-197 c,1.23,15.07,Garden World,0,2014,Kepler-197
Kepler-197 d,1.22,30.32,Gas Giant,0,2014,Kepler-197
Kepler-197 e,0.91,59.95,Gas Giant,1,2014,Kepler-197
Kepler-1972 b,0.802,22.96,Garden World,1,2014,Kepler-1972
Kepler-1972 c,0.868,11.16,Ice Giant,0,2014,Kepler-1972
Kepler-1976 b,12.21,5.61,Gas Giant,0,2023,Kepler-1976
Kepler-1977 b,1.66,34,Dwarf Planet,1,2023,Kepler-1977
Kepler-1978 b,2.67,73.68,Ice Giant,1,2023,Kepler-1978
Kepler-1979 b,29.33,69.88,Dwarf Planet,0,2023,Kepler-1979
Kepler-198 b,2.82,105.64,Garden World,1,2014,Kepler-198
Kepler-198 c,2.47,55.86,Chthonian Planet,0,2014,Kepler-198
Kepler-198 d,1.53,50.09,Dwarf Planet,0,2016,Kepler-198
Kepler-1980 b,2.21,87.63,Proto Planet,0,2023,Kepler-1980
Kepler-1981 b,9.23,51.02,Chthonian Planet,1,2023,Kepler-1981
Kepler-1982 b,0.77,99.88,Ice Giant,1,2023,Kepler-1982
Kepler-1983 b,2.33,96.78,Ice Giant,0,2023,Kepler-1983
Kepler-1984 b,6.81,10.7,Gas Giant,1,2023,Kepler-1984
Kepler-1985 b,2.27,59.24,Dwarf Planet,1,2023,Kepler-1985
Kepler-1986 b,1.89,118.03,Ice Giant,1,2023,Kepler-1986
Kepler-1987 b,1.23,39.97,Dwarf Planet,1,2023,Kepler-1987
Kepler-1987 c,1.33,28.42,Chthonian Planet,0,2023,Kepler-1987
Kepler-1987 d,2.66,72.84,Gas Giant,1,2023,Kepler-1987
Kepler-1987 e,1.92,2.97,Dwarf Planet,1,2023,Kepler-1987
Kepler-1988 b,1.53,33.8,Proto Planet,1,2023,Kepler-1988
Kepler-1989 b,4.62,67.4,Dwarf Planet,0,2023,Kepler-1989
Kepler-199 b,3.11,18.38,Proto Planet,1,2014,Kepler-199
Kepler-199 c,3.25,13.69,Chthonian Planet,0,2014,Kepler-199
Kepler-1990 b,3.27,30.32,Dwarf Planet,1,2023,Kepler-1990
Kepler-1990 c,0.98,14.06,Proto Planet,0,2023,Kepler-1990
Kepler-1991 b,1.47,54.24,Proto Planet,0,2023,Kepler-1991
Kepler-1991 c,2.57,57.4,Proto Planet,1,2023,Kepler-1991
Kepler-1992 b,0.91,89.55,Proto Planet,0,2023,Kepler-1992
Kepler-1993 b,4.15,89.37,Chthonian Planet,1,2023,Kepler-1993
Kepler-1994 b,0.51,20.51,Garden World,1,2023,Kepler-1994
Kepler-1995 b,4.28,48.21,Dwarf Planet,1,2023,Kepler-1995
Kepler-1996 b,2.26,115.76,Gas Giant,0,2023,Kepler-1996
Kepler-1996 c,2.81,1.96,Chthonian Planet,0,2023,Kepler-1996
Kepler-1997 b,2.28,27.4,Ice Giant,0,2023,Kepler-1997
Kepler-1998 b,0.6,53.69,Proto Planet,0,2023,Kepler-1998
Kepler-1999 b,3.29,109.93,Dwarf Planet,0,2023,Kepler-1999
Kepler-20 b,1.773,93.62,Garden World,0,2011,Kepler-20
Kepler-20 c,2.894,106.13,Proto Planet,0,2011,Kepler-20
Kepler-20 d,2.606,94.42,Garden World,1,2011,Kepler-20
Kepler-20 e,0.821,117.15,Ice Giant,0,2011,Kepler-20
Kepler-20 f,0.952,101.95,Dwarf Planet,1,2011,Kepler-20
Kepler-20 g,4.71,119.64,Ice Giant,1,2016,Kepler-20
Kepler-200 b,2.13,121.05,Chthonian Planet,1,2014,Kepler-200
Kepler-200 c,1.59,64.78,Proto Planet,0,2014,Kepler-200
Kepler-2000 b,2.73,21.48,Dwarf Planet,0,2023,Kepler-2000
Kepler-2000 c,1.57,106.91,Gas Giant,1,2023,Kepler-2000
Kepler-2001 b,1.04,104.41,Dwarf Planet,0,2023,Kepler-2001
Kepler-2001 c,1.82,43.68,Ice Giant,1,2023,Kepler-2001
Kepler-201 b,2.46,77.12,Dwarf Planet,0,2014,Kepler-201
Kepler-201 c,2.85,7.37,Garden World,1,2014,Kepler-201
Kepler-202 b,1.63,107.74,Dwarf Planet,1,2014,Kepler-202
Kepler-202 c,1.85,21.7,Proto Planet,1,2014,Kepler-202
Kepler-203 b,2.57,67.11,Gas Giant,1,2014,Kepler-203
Kepler-203 c,2.47,43.1,Chthonian Planet,0,2014,Kepler-203
Kepler-203 d,1.44,87.26,Ice Giant,1,2014,Kepler-203
Kepler-204 b,2.53,13,Gas Giant,1,2014,Kepler-204
Kepler-204 c,1.79,48.44,Gas Giant,0,2014,Kepler-204
Kepler-205 b,1.51,20.12,Chthonian Planet,1,2014,Kepler-205
Kepler-205 c,1.64,109.08,Gas Giant,0,2014,Kepler-205
Kepler-206 b,1.2,76.96,Proto Planet,0,2014,Kepler-206
Kepler-206 c,1.77,76.12,Chthonian Planet,0,2014,Kepler-206
Kepler-206 d,1.19,61.35,Garden World,1,2014,Kepler-206
Kepler-207 b,1.57,96.76,Ice Giant,0,2014,Kepler-207
Kepler-207 c,1.5,0.87,Proto Planet,0,2014,Kepler-207
Kepler-207 d,3.31,44.76,Ice Giant,0,2014,Kepler-207
Kepler-208 b,1.63,74.79,Proto Planet,0,2014,Kepler-208
Kepler-208 c,1.39,57.42,Ice Giant,1,2014,Kepler-208
Kepler-208 d,1.2,1.87,Garden World,1,2014,Kepler-208
Kepler-208 e,1.48,60.21,Garden World,1,2014,Kepler-208
Kepler-209 b,2.26,49.24,Ice Giant,1,2014,Kepler-209
Kepler-209 c,3.1,113.87,Proto Planet,0,2014,Kepler-209
Kepler-21 b,1.639,78.27,Dwarf Planet,1,2012,Kepler-21
Kepler-210 b,2.94,117.84,Proto Planet,0,2014,Kepler-210
Kepler-210 c,3.62,30.34,Garden World,0,2014,Kepler-210
Kepler-211 b,1.26,81.62,Proto Planet,1,2014,Kepler-211
Kepler-211 c,1.29,9.07,Proto Planet,1,2014,Kepler-211
Kepler-212 b,1.09,67.11,Gas Giant,1,2014,Kepler-212
Kepler-212 c,2.74,68.27,Proto Planet,0,2014,Kepler-212
Kepler-213 b,1.62,3.02,Dwarf Planet,0,2014,Kepler-213
Kepler-213 c,2.34,74.26,Gas Giant,1,2014,Kepler-213
Kepler-214 b,2.61,47.54,Dwarf Planet,1,2014,Kepler-214
Kepler-214 c,2.13,57.08,Chthonian Planet,1,2014,Kepler-214
Kepler-215 b,1.62,98.68,Chthonian Planet,0,2014,Kepler-215
Kepler-215 c,1.77,32.26,Chthonian Planet,0,2014,Kepler-215
Kepler-215 d,2.39,17.01,Gas Giant,0,2014,Kepler-215
Kepler-215 e,1.75,61.73,Gas Giant,1,2014,Kepler-215
Kepler-216 b,2.35,20.21,Dwarf Planet,1,2014,Kepler-216
Kepler-216 c,3.04,101.68,Garden World,0,2014,Kepler-216
Kepler-217 b,2.23,35.77,Proto Planet,0,2014,Kepler-217
Kepler-217 c,1.85,45.77,Gas Giant,0,2014,Kepler-217
Kepler-217 d,1.32,120.33,Garden World,0,2016,Kepler-217
Kepler-218 b,1.48,71.86,Garden World,1,2014,Kepler-218
Kepler-218 c,3.14,28.33,Dwarf Planet,0,2014,Kepler-218
Kepler-218 d,2.66,3.65,Ice Giant,1,2016,Kepler-218
Kepler-219 b,2.95,105.71,Chthonian Planet,0,2014,Kepler-219
Kepler-219 c,3.58,110.81,Dwarf Planet,1,2014,Kepler-219
Kepler-219 d,2.81,115.63,Dwarf Planet,1,2014,Kepler-219
Kepler-22 b,2.1,33.32,Dwarf Planet,1,2011,Kepler-22
Kepler-220 b,0.81,5.2,Garden World,1,2014,Kepler-220
Kepler-220 c,1.57,94.17,Garden World,0,2014,Kepler-220
Kepler-220 d,0.98,25.84,Proto Planet,0,2014,Kepler-220
Kepler-220 e,1.33,50,Chthonian Planet,0,2014,Kepler-220
Kepler-221 b,1.71,121.29,Garden World,1,2014,Kepler-221
Kepler-221 c,2.93,91.26,Garden World,1,2014,Kepler-221
Kepler-221 d,2.73,43.51,Ice Giant,1,2014,Kepler-221
Kepler-221 e,2.63,3.26,Dwarf Planet,0,2014,Kepler-221
Kepler-222 b,3.16,46.24,Proto Planet,0,2014,Kepler-222
Kepler-222 c,4.64,85.84,Gas Giant,0,2014,Kepler-222
Kepler-222 d,3.69,85.86,Dwarf Planet,0,2014,Kepler-222
Kepler-223 b,2.99,11.96,Dwarf Planet,1,2014,Kepler-223
Kepler-223 c,3.44,49.21,Garden World,0,2014,Kepler-223
Kepler-223 d,5.24,122.98,Dwarf Planet,1,2014,Kepler-223
Kepler-223 e,4.6,82.42,Dwarf Planet,0,2014,Kepler-223
Kepler-224 b,1.39,107.4,Ice Giant,1,2014,Kepler-224
Kepler-224 c,3.12,14.82,Gas Giant,1,2014,Kepler-224
Kepler-224 d,2.3,25.8,Ice Giant,1,2014,Kepler-224
Kepler-224 e,1.97,93.8,Proto Planet,0,2014,Kepler-224
Kepler-225 b,1.2,46.95,Gas Giant,0,2014,Kepler-225
Kepler-225 c,1.84,34.17,Proto Planet,0,2014,Kepler-225
Kepler-226 b,1.55,42.5,Gas Giant,1,2014,Kepler-226
Kepler-226 c,2.27,27.4,Gas Giant,1,2014,Kepler-226
Kepler-226 d,1.22,21.76,Dwarf Planet,0,2014,Kepler-226
Kepler-227 b,3.11,100.94,Gas Giant,1,2014,Kepler-227
Kepler-227 c,3.04,21.66,Proto Planet,1,2014,Kepler-227
Kepler-228 b,1.53,19.13,Dwarf Planet,0,2014,Kepler-228
Kepler-228 c,2.7,122.96,Dwarf Planet,0,2014,Kepler-228
Kepler-228 d,4.04,10.23,Ice Giant,0,2014,Kepler-228
Kepler-229 b,2.2,0.53,Proto Planet,0,2014,Kepler-229
Kepler-229 c,4.92,92.29,Proto Planet,0,2014,Kepler-229
Kepler-229 d,3.85,120.79,Proto Planet,0,2014,Kepler-229
Kepler-23 b,1.638,100.79,Gas Giant,1,2011,Kepler-23
Kepler-23 c,3.005,119.66,Gas Giant,0,2011,Kepler-23
Kepler-23 d,2.206,79.57,Garden World,0,2014,Kepler-23
Kepler-230 b,4.26,52.99,Chthonian Planet,0,2014,Kepler-230
Kepler-230 c,2.04,17.23,Gas Giant,0,2014,Kepler-230
Kepler-231 b,1.73,35.2,Gas Giant,1,2014,Kepler-231
Kepler-231 c,1.93,54.28,Gas Giant,0,2014,Kepler-231
Kepler-232 b,3.08,66.25,Ice Giant,0,2014,Kepler-232
Kepler-232 c,3.83,72.95,Dwarf Planet,1,2014,Kepler-232
Kepler-233 b,2.43,39.49,Chthonian Planet,1,2014,Kepler-233
Kepler-233 c,2.71,96.68,Chthonian Planet,0,2014,Kepler-233
Kepler-234 b,3.7,16.71,Gas Giant,1,2014,Kepler-234
Kepler-234 c,3.51,116.55,Proto Planet,0,2014,Kepler-234
Kepler-235 b,2.23,109.61,Dwarf Planet,1,2014,Kepler-235
Kepler-235 c,1.28,90.7,Ice Giant,1,2014,Kepler-235
Kepler-235 d,2.05,109.74,Garden World,1,2014,Kepler-235
Kepler-235 e,2.22,80.93,Ice Giant,1,2014,Kepler-235
Kepler-236 b,1.57,108.99,Chthonian Planet,0,2014,Kepler-236
Kepler-236 c,2,87.71,Garden World,0,2014,Kepler-236
Kepler-237 b,1.41,18.72,Gas Giant,0,2014,Kepler-237
Kepler-237 c,2.08,83.6,Chthonian Planet,0,2014,Kepler-237
Kepler-238 b,1.73,33.14,Gas Giant,0,2014,Kepler-238
Kepler-238 c,2.39,102.06,Gas Giant,0,2014,Kepler-238
Kepler-238 d,3.07,59.67,Proto Planet,1,2014,Kepler-238
Kepler-238 e,5.6,108.13,Proto Planet,0,2013,Kepler-238
Kepler-238 f,2,113.89,Ice Giant,0,2013,Kepler-238
Kepler-239 b,2.33,75.1,Dwarf Planet,1,2014,Kepler-239
Kepler-239 c,2.51,37.86,Garden World,1,2014,Kepler-239
Kepler-24 b,2.348,19.39,Gas Giant,0,2011,Kepler-24
Kepler-24 c,2.514,33.05,Proto Planet,1,2011,Kepler-24
Kepler-24 d,1.67,51.26,Ice Giant,1,2014,Kepler-24
Kepler-24 e,2.78,117.33,Proto Planet,0,2014,Kepler-24
Kepler-240 b,1.37,74.32,Chthonian Planet,1,2014,Kepler-240
Kepler-240 c,2.2,90.08,Ice Giant,1,2014,Kepler-240
Kepler-241 b,2.33,32.91,Dwarf Planet,0,2014,Kepler-241
Kepler-241 c,2.57,14.95,Chthonian Planet,1,2014,Kepler-241
Kepler-242 b,2.61,76.67,Ice Giant,0,2014,Kepler-242
Kepler-242 c,2,6.39,Garden World,1,2014,Kepler-242
Kepler-243 b,2.45,5.67,Gas Giant,1,2014,Kepler-243
Kepler-243 c,1.99,58.97,Dwarf Planet,0,2014,Kepler-243
Kepler-244 b,2.76,1.83,Dwarf Planet,1,2014,Kepler-244
Kepler-244 c,2.05,53.31,Proto Planet,0,2014,Kepler-244
Kepler-244 d,2.31,62.7,Dwarf Planet,1,2014,Kepler-244
Kepler-245 b,2.57,28.47,Dwarf Planet,0,2014,Kepler-245
Kepler-245 c,2.18,27.3,Proto Planet,0,2014,Kepler-245
Kepler-245 d,3.03,33.82,Dwarf Planet,0,2014,Kepler-245
Kepler-245 e,1.75,115.41,Gas Giant,1,2016,Kepler-245
Kepler-246 b,2.34,4.43,Proto Planet,0,2014,Kepler-246
Kepler-246 c,1.5,92.5,Proto Planet,0,2014,Kepler-246
Kepler-247 b,1.64,85.32,Ice Giant,1,2014,Kepler-247
Kepler-247 c,4.09,73.7,Dwarf Planet,0,2014,Kepler-247
Kepler-247 d,3.94,13.52,Dwarf Planet,1,2014,Kepler-247
Kepler-248 b,3.02,113.33,Chthonian Planet,0,2014,Kepler-248
Kepler-248 c,4.07,27.75,Gas Giant,0,2014,Kepler-248
Kepler-249 b,1.09,61.46,Dwarf Planet,0,2014,Kepler-249
Kepler-249 c,1.51,36.08,Gas Giant,0,2014,Kepler-249
Kepler-249 d,1.57,35.67,Ice Giant,0,2014,Kepler-249
Kepler-25 b,2.748,118.07,Gas Giant,0,2011,Kepler-25
Kepler-25 c,5.217,59.09,Garden World,1,2011,Kepler-25
Kepler-25 d,10,67.48,Dwarf Planet,1,2014,Kepler-25
Kepler-250 b,1.13,65.34,Ice Giant,0,2014,Kepler-250
Kepler-250 c,2.28,120.25,Dwarf Planet,1,2014,Kepler-250
Kepler-250 d,2.18,22.35,Gas Giant,0,2014,Kepler-250
Kepler-251 b,1.33,0.61,Garden World,0,2014,Kepler-251
Kepler-251 c,2.77,100.33,Dwarf Planet,1,2014,Kepler-251
Kepler-251 d,2.77,99.57,Gas Giant,0,2014,Kepler-251
Kepler-251 e,2.77,8.79,Garden World,0,2014,Kepler-251
Kepler-252 b,1.23,55.89,Proto Planet,0,2014,Kepler-252
Kepler-252 c,2.15,6.89,Ice Giant,1,2014,Kepler-252
Kepler-253 b,1.63,1.02,Gas Giant,0,2014,Kepler-253
Kepler-253 c,2.65,100.71,Proto Planet,1,2014,Kepler-253
Kepler-253 d,3.17,33.34,Dwarf Planet,0,2014,Kepler-253
Kepler-254 b,3.87,27.07,Chthonian Planet,0,2014,Kepler-254
Kepler-254 c,2.15,1.2,Gas Giant,1,2014,Kepler-254
Kepler-254 d,2.5,35.56,Gas Giant,0,2014,Kepler-254
Kepler-255 b,1.55,1.2,Garden World,0,2014,Kepler-255
Kepler-255 c,2.99,105.94,Chthonian Planet,1,2014,Kepler-255
Kepler-255 d,1.32,110.88,Gas Giant,0,2016,Kepler-255
Kepler-256 b,1.59,109.88,Dwarf Planet,1,2014,Kepler-256
Kepler-256 c,2.15,93.67,Dwarf Planet,1,2014,Kepler-256
Kepler-256 d,2.48,5.24,Gas Giant,0,2014,Kepler-256
Kepler-256 e,2.35,91.68,Proto Planet,1,2014,Kepler-256
Kepler-257 b,2.61,117.54,Chthonian Planet,0,2014,Kepler-257
Kepler-257 c,5.41,4.66,Ice Giant,1,2014,Kepler-257
Kepler-257 d,4.95,75.41,Dwarf Planet,1,2014,Kepler-257
Kepler-258 b,4.06,103.4,Gas Giant,1,2014,Kepler-258
Kepler-258 c,3.61,30.79,Ice Giant,0,2014,Kepler-258
Kepler-259 b,2.8,101.49,Gas Giant,0,2014,Kepler-259
Kepler-259 c,2.7,4.21,Ice Giant,0,2014,Kepler-259
