Planet Name,Biome,Phylum
Kepler-1055 b,Swamp,Arthropoda
Kepler-1056 b,Temperate,Platyhelminthes
Kepler-1057 b,Tropical,Echinodermata
Kepler-1058 b,Tundra,Nematoda
Kepler-1059 b,Tundra,Annelida
Kepler-106 b,Alpine,Cnidaria
Kepler-106 c,Tundra,Angiospermae
Kepler-106 d,Tropical,Bryophyta
Kepler-106 e,Swamp,Pteridophyta
Kepler-1060 b,Tundra,Arthropoda
Kepler-1061 b,Swamp,Mollusca
Kepler-1062 b,Marshland,Arthropoda
Kepler-1063 b,Boreal,Annelida
Kepler-1064 b,Alpine,Pteridophyta
Kepler-1065 b,Boreal,Cnidaria
Kepler-1065 c,Desert,Platyhelminthes
Kepler-1066 b,Boreal,Pteridophyta
Kepler-1067 b,Swamp,Bryophyta
Kepler-1067 c,Tropical,Nematoda
Kepler-1068 b,Alpine,Chordata
Kepler-1069 b,Scarlet,Bryophyta
Kepler-107 b,Boreal,Porifera
Kepler-107 c,Tundra,Arthropoda
Kepler-107 d,Alpine,Porifera
Kepler-107 e,Marshland,Chordata
Kepler-1070 b,Nemoral,Arthropoda
Kepler-1071 b,Swamp,Mollusca
Kepler-1072 b,Boreal,Annelida
Kepler-1073 b,Tropical,Cnidaria
Kepler-1073 c,Tropical,Bryophyta
Kepler-1073 d,Tundra,Angiospermae
Kepler-1074 b,Swamp,Pteridophyta
Kepler-1075 b,Scarlet,Annelida
Kepler-1076 b,Desert,Angiospermae
Kepler-1077 b,Desert,Mollusca
Kepler-1078 b,Alpine,Platyhelminthes
Kepler-1079 b,Temperate,Annelida
Kepler-108 b,Tropical,Chordata
Kepler-108 c,Scarlet,Mollusca
Kepler-1080 b,Tropical,Bryophyta
Kepler-1081 b,Nemoral,Pteridophyta
Kepler-1082 b,Scarlet,Pteridophyta
Kepler-1083 b,Boreal,Bryophyta
Kepler-1084 b,Marshland,Bryophyta
Kepler-1085 b,Alpine,Bryophyta
Kepler-1085 c,Tundra,Mollusca
Kepler-1086 b,Tundra,Platyhelminthes
Kepler-1086 c,Marshland,Platyhelminthes
Kepler-1087 b,Boreal,Mollusca
Kepler-1088 b,Swamp,Annelida
Kepler-1089 b,Temperate,Arthropoda
Kepler-109 b,Desert,Nematoda
Kepler-109 c,Scarlet,Platyhelminthes
Kepler-1090 b,Boreal,Chordata
Kepler-1090 c,Alpine,Platyhelminthes
Kepler-1091 b,Desert,Cnidaria
Kepler-1092 b,Marshland,Cnidaria
Kepler-1093 b,Boreal,Mollusca
Kepler-1093 c,Marshland,Chordata
Kepler-1094 b,Desert,Porifera
Kepler-1095 b,Swamp,Platyhelminthes
Kepler-1096 b,Nemoral,Arthropoda
Kepler-1097 b,Scarlet,Arthropoda
Kepler-1098 b,Desert,Cnidaria
Kepler-1099 b,Nemoral,Pteridophyta
Kepler-11 b,Tundra,Porifera
Kepler-11 c,Swamp,Cnidaria
Kepler-11 d,Alpine,Arthropoda
Kepler-11 e,Desert,Annelida
Kepler-11 f,Tropical,Cnidaria
Kepler-11 g,Swamp,Cnidaria
Kepler-110 b,Marshland,Nematoda
Kepler-110 c,Scarlet,Platyhelminthes
Kepler-1100 b,Scarlet,Bryophyta
Kepler-1101 b,Marshland,Annelida
Kepler-1102 b,Tundra,Platyhelminthes
Kepler-1103 b,Tundra,Arthropoda
Kepler-1104 b,Swamp,Nematoda
Kepler-1105 b,Scarlet,Chordata
Kepler-1106 b,Temperate,Angiospermae
Kepler-1107 b,Swamp,Chordata
Kepler-1108 b,Swamp,Cnidaria
Kepler-1109 b,Tundra,Chordata
Kepler-111 b,Boreal,Annelida
Kepler-111 c,Desert,Arthropoda
Kepler-1110 b,Scarlet,Pteridophyta
Kepler-1111 b,Tundra,Mollusca
Kepler-1112 b,Temperate,Arthropoda
Kepler-1113 b,Tundra,Platyhelminthes
Kepler-1114 b,Tropical,Cnidaria
Kepler-1115 b,Swamp,Angiospermae
Kepler-1116 b,Marshland,Annelida
Kepler-1117 b,Desert,Bryophyta
Kepler-1118 b,Boreal,Echinodermata
Kepler-1119 b,Temperate,Arthropoda
Kepler-112 b,Scarlet,Cnidaria
Kepler-112 c,Tundra,Pteridophyta
Kepler-1120 b,Nemoral,Porifera
Kepler-1121 b,Scarlet,Echinodermata
Kepler-1122 b,Marshland,Porifera
Kepler-1123 b,Marshland,Nematoda
Kepler-1124 b,Nemoral,Platyhelminthes
Kepler-1125 b,Nemoral,Mollusca
Kepler-1126 b,Desert,Arthropoda
Kepler-1126 c,Desert,Annelida
Kepler-1127 b,Tropical,Bryophyta
Kepler-1128 b,Scarlet,Bryophyta
Kepler-1129 b,Scarlet,Chordata
Kepler-1129 c,Swamp,Echinodermata
Kepler-113 b,Tundra,Cnidaria
Kepler-113 c,Tropical,Chordata
Kepler-1130 b,Marshland,Chordata
Kepler-1130 c,Nemoral,Arthropoda
Kepler-1130 d,Scarlet,Echinodermata
Kepler-1131 b,Alpine,Bryophyta
Kepler-1132 b,Swamp,Cnidaria
Kepler-1133 b,Scarlet,Arthropoda
Kepler-1134 b,Alpine,Platyhelminthes
Kepler-1135 b,Temperate,Mollusca
Kepler-1136 b,Tropical,Angiospermae
Kepler-1137 b,Nemoral,Angiospermae
Kepler-1138 b,Desert,Cnidaria
Kepler-1139 b,Marshland,Chordata
Kepler-114 b,Desert,Echinodermata
Kepler-114 c,Tropical,Arthropoda
Kepler-114 d,Tropical,Chordata
Kepler-1140 b,Tundra,Mollusca
Kepler-1141 b,Tundra,Pteridophyta
Kepler-1142 b,Temperate,Nematoda
Kepler-1143 b,Scarlet,Nematoda
Kepler-1143 c,Tundra,Annelida
Kepler-1144 b,Boreal,Echinodermata
Kepler-1145 b,Tundra,Annelida
Kepler-1146 b,Scarlet,Chordata
Kepler-1147 b,Swamp,Pteridophyta
Kepler-1148 b,Boreal,Cnidaria
Kepler-1149 b,Swamp,Mollusca
Kepler-115 b,Desert,Echinodermata
Kepler-115 c,Swamp,Cnidaria
Kepler-1150 b,Scarlet,Mollusca
Kepler-1151 b,Alpine,Nematoda
Kepler-1152 b,Tundra,Chordata
Kepler-1153 b,Boreal,Porifera
Kepler-1154 b,Tropical,Nematoda
Kepler-1154 c,Tundra,Annelida
Kepler-1155 b,Nemoral,Nematoda
Kepler-1156 b,Desert,Platyhelminthes
Kepler-1157 b,Boreal,Nematoda
Kepler-1158 b,Tundra,Annelida
Kepler-1159 b,Boreal,Pteridophyta
Kepler-116 b,Swamp,Echinodermata
Kepler-116 c,Alpine,Mollusca
Kepler-1160 b,Tundra,Cnidaria
Kepler-1161 b,Desert,Platyhelminthes
Kepler-1162 b,Marshland,Bryophyta
Kepler-1162 c,Nemoral,Cnidaria
Kepler-1163 b,Boreal,Pteridophyta
Kepler-1164 b,Marshland,Chordata
Kepler-1165 b,Temperate,Angiospermae
Kepler-1165 c,Boreal,Cnidaria
Kepler-1166 b,Scarlet,Angiospermae
Kepler-1167 b,Alpine,Chordata
Kepler-1168 b,Alpine,Nematoda
Kepler-1169 b,Nemoral,Echinodermata
Kepler-117 b,Marshland,Chordata
Kepler-117 c,Desert,Chordata
Kepler-1170 b,Tundra,Nematoda
Kepler-1171 b,Tundra,Platyhelminthes
Kepler-1172 b,Tundra,Pteridophyta
Kepler-1173 b,Desert,Echinodermata
Kepler-1174 b,Scarlet,Platyhelminthes
Kepler-1175 b,Desert,Arthropoda
Kepler-1176 b,Alpine,Bryophyta
Kepler-1177 b,Tropical,Echinodermata
Kepler-1178 b,Boreal,Cnidaria
Kepler-1179 b,Scarlet,Pteridophyta
Kepler-118 b,Boreal,Annelida
Kepler-118 c,Tropical,Porifera
Kepler-1180 b,Marshland,Platyhelminthes
Kepler-1181 b,Tundra,Mollusca
Kepler-1181 c,Tropical,Pteridophyta
Kepler-1182 b,Boreal,Echinodermata
Kepler-1183 b,Alpine,Platyhelminthes
Kepler-1184 b,Boreal,Annelida
Kepler-1185 b,Alpine,Bryophyta
Kepler-1186 b,Swamp,Nematoda
Kepler-1187 b,Tropical,Angiospermae
Kepler-1188 b,Swamp,Platyhelminthes
Kepler-1189 b,Swamp,Echinodermata
Kepler-119 b,Marshland,Pteridophyta
Kepler-119 c,Nemoral,Cnidaria
Kepler-1190 b,Boreal,Pteridophyta
Kepler-1191 b,Alpine,Arthropoda
Kepler-1192 b,Boreal,Echinodermata
Kepler-1193 b,Alpine,Nematoda
Kepler-1194 b,Boreal,Cnidaria
Kepler-1195 b,Temperate,Cnidaria
Kepler-1196 b,Tundra,Arthropoda
Kepler-1197 b,Marshland,Arthropoda
Kepler-1198 b,Scarlet,Pteridophyta
Kepler-1199 b,Swamp,Angiospermae
Kepler-12 b,Swamp,Chordata
Kepler-120 b,Scarlet,Annelida
Kepler-120 c,Desert,Arthropoda
Kepler-1200 b,Marshland,Annelida
Kepler-1201 b,Nemoral,Platyhelminthes
Kepler-1202 b,Temperate,Porifera
Kepler-1203 b,Tropical,Annelida
Kepler-1204 b,Alpine,Chordata
Kepler-1205 b,Tundra,Chordata
Kepler-1206 b,Boreal,Platyhelminthes
Kepler-1207 b,Scarlet,Annelida
Kepler-1208 b,Scarlet,Cnidaria
Kepler-1209 b,Alpine,Mollusca
Kepler-121 b,Swamp,Arthropoda
Kepler-121 c,Marshland,Porifera
Kepler-1210 b,Alpine,Arthropoda
Kepler-1211 b,Boreal,Arthropoda
Kepler-1212 b,Tundra,Arthropoda
Kepler-1213 b,Nemoral,Chordata
Kepler-1214 b,Desert,Echinodermata
Kepler-1215 b,Tundra,Annelida
Kepler-1216 b,Tundra,Echinodermata
Kepler-1217 b,Tundra,Cnidaria
Kepler-1218 b,Swamp,Echinodermata
Kepler-1219 b,Temperate,Bryophyta
Kepler-122 b,Boreal,Cnidaria
Kepler-122 c,Scarlet,Pteridophyta
Kepler-122 d,Tundra,Angiospermae
Kepler-122 e,Nemoral,Platyhelminthes
Kepler-122 f,Marshland,Mollusca
Kepler-1220 b,Temperate,Mollusca
Kepler-1221 b,Swamp,Pteridophyta
Kepler-1222 b,Desert,Echinodermata
Kepler-1223 b,Marshland,Chordata
Kepler-1224 b,Desert,Annelida
Kepler-1225 b,Marshland,Echinodermata
Kepler-1226 b,Scarlet,Chordata
Kepler-1227 b,Tundra,Arthropoda
Kepler-1228 b,Desert,Chordata
Kepler-1229 b,Desert,Annelida
Kepler-123 b,Desert,Chordata
Kepler-123 c,Marshland,Arthropoda
Kepler-1230 b,Scarlet,Platyhelminthes
Kepler-1231 b,Marshland,Porifera
Kepler-1232 b,Tropical,Bryophyta
Kepler-1233 b,Tundra,Echinodermata
Kepler-1234 b,Desert,Annelida
Kepler-1235 b,Marshland,Echinodermata
Kepler-1236 b,Swamp,Annelida
Kepler-1237 b,Swamp,Arthropoda
Kepler-1238 b,Scarlet,Mollusca
Kepler-1239 b,Boreal,Cnidaria
Kepler-124 b,Marshland,Chordata
Kepler-124 c,Tropical,Cnidaria
Kepler-124 d,Boreal,Echinodermata
Kepler-1240 b,Desert,Annelida
Kepler-1241 b,Boreal,Nematoda
Kepler-1242 b,Swamp,Annelida
Kepler-1243 b,Tundra,Mollusca
Kepler-1244 b,Boreal,Bryophyta
Kepler-1245 b,Scarlet,Cnidaria
Kepler-1245 c,Desert,Echinodermata
Kepler-1246 b,Scarlet,Pteridophyta
Kepler-1247 b,Marshland,Arthropoda
Kepler-1248 b,Boreal,Bryophyta
Kepler-1249 b,Scarlet,Chordata
Kepler-125 b,Swamp,Echinodermata
Kepler-125 c,Boreal,Platyhelminthes
Kepler-1250 b,Nemoral,Nematoda
Kepler-1251 b,Alpine,Bryophyta
Kepler-1252 b,Nemoral,Mollusca
Kepler-1253 b,Temperate,Nematoda
Kepler-1254 b,Scarlet,Nematoda
Kepler-1254 c,Desert,Platyhelminthes
Kepler-1254 d,Swamp,Annelida
Kepler-1255 b,Temperate,Mollusca
Kepler-1256 b,Alpine,Mollusca
Kepler-1257 b,Tundra,Cnidaria
Kepler-1258 b,Tundra,Arthropoda
Kepler-1259 b,Tundra,Cnidaria
Kepler-126 b,Temperate,Mollusca
Kepler-126 c,Boreal,Cnidaria
Kepler-126 d,Boreal,Annelida
Kepler-1260 b,Swamp,Arthropoda
Kepler-1261 b,Swamp,Platyhelminthes
Kepler-1262 b,Desert,Mollusca
Kepler-1263 b,Temperate,Cnidaria
Kepler-1264 b,Swamp,Arthropoda
Kepler-1265 b,Tundra,Mollusca
Kepler-1266 b,Scarlet,Mollusca
Kepler-1266 c,Scarlet,Chordata
Kepler-1267 b,Tundra,Bryophyta
Kepler-1268 b,Swamp,Pteridophyta
Kepler-1269 b,Scarlet,Chordata
Kepler-127 b,Swamp,Chordata
Kepler-127 c,Tundra,Pteridophyta
Kepler-127 d,Marshland,Chordata
Kepler-1270 b,Scarlet,Annelida
Kepler-1271 b,Swamp,Platyhelminthes
Kepler-1272 b,Tundra,Pteridophyta
Kepler-1273 b,Tropical,Annelida
Kepler-1274 b,Swamp,Angiospermae
Kepler-1275 b,Nemoral,Platyhelminthes
Kepler-1276 b,Temperate,Platyhelminthes
Kepler-1277 b,Scarlet,Echinodermata
Kepler-1278 b,Tundra,Pteridophyta
Kepler-1279 b,Marshland,Annelida
Kepler-128 b,Scarlet,Pteridophyta
Kepler-128 c,Tropical,Cnidaria
Kepler-1280 b,Desert,Echinodermata
Kepler-1281 b,Alpine,Cnidaria
Kepler-1282 b,Nemoral,Bryophyta
Kepler-1283 b,Scarlet,Pteridophyta
Kepler-1284 b,Scarlet,Bryophyta
Kepler-1285 b,Tundra,Echinodermata
Kepler-1286 b,Alpine,Chordata
Kepler-1287 b,Tundra,Nematoda
Kepler-1288 b,Desert,Mollusca
Kepler-1289 b,Scarlet,Cnidaria
Kepler-129 b,Marshland,Annelida
Kepler-129 c,Swamp,Arthropoda
Kepler-129 d,Swamp,Chordata
Kepler-1290 b,Temperate,Echinodermata
Kepler-1291 b,Alpine,Echinodermata
Kepler-1292 b,Alpine,Mollusca
Kepler-1293 b,Alpine,Echinodermata
Kepler-1294 b,Desert,Cnidaria
Kepler-1295 b,Scarlet,Echinodermata
Kepler-1296 b,Marshland,Mollusca
Kepler-1297 b,Temperate,Porifera
Kepler-1298 b,Marshland,Echinodermata
Kepler-1299 b,Scarlet,Porifera
Kepler-130 b,Scarlet,Platyhelminthes
Kepler-130 c,Marshland,Arthropoda
Kepler-130 d,Nemoral,Porifera
Kepler-1300 b,Alpine,Chordata
Kepler-1301 b,Tropical,Angiospermae
Kepler-1302 b,Desert,Angiospermae
Kepler-1303 b,Boreal,Platyhelminthes
Kepler-1304 b,Boreal,Bryophyta
Kepler-1305 b,Desert,Annelida
Kepler-1306 b,Tropical,Platyhelminthes
Kepler-1307 b,Nemoral,Chordata
Kepler-1308 b,Desert,Cnidaria
Kepler-1309 b,Desert,Echinodermata
Kepler-131 b,Tropical,Echinodermata
Kepler-131 c,Alpine,Pteridophyta
Kepler-1310 b,Boreal,Pteridophyta
Kepler-1311 b,Tropical,Pteridophyta
Kepler-1311 c,Swamp,Cnidaria
Kepler-1311 d,Desert,Chordata
Kepler-1312 b,Tundra,Echinodermata
Kepler-1312 c,Tundra,Platyhelminthes
Kepler-1313 b,Boreal,Nematoda
Kepler-1314 b,Marshland,Nematoda
Kepler-1315 b,Swamp,Platyhelminthes
Kepler-1315 c,Boreal,Chordata
Kepler-1316 b,Boreal,Pteridophyta
Kepler-1317 b,Alpine,Annelida
Kepler-1318 b,Tundra,Angiospermae
Kepler-1319 b,Desert,Mollusca
Kepler-132 b,Temperate,Mollusca
Kepler-132 c,Scarlet,Cnidaria
Kepler-132 d,Tundra,Pteridophyta
Kepler-132 e,Scarlet,Echinodermata
Kepler-1320 b,Marshland,Mollusca
Kepler-1321 b,Nemoral,Chordata
Kepler-1321 c,Swamp,Chordata
Kepler-1321 d,Tropical,Platyhelminthes
Kepler-1322 b,Tropical,Angiospermae
Kepler-1322 c,Marshland,Platyhelminthes
Kepler-1323 b,Alpine,Bryophyta
Kepler-1324 b,Tropical,Cnidaria
Kepler-1325 b,Tundra,Pteridophyta
Kepler-1326 b,Scarlet,Nematoda
Kepler-1327 b,Alpine,Arthropoda
Kepler-1328 b,Tundra,Arthropoda
Kepler-1329 b,Alpine,Platyhelminthes
Kepler-133 b,Marshland,Cnidaria
Kepler-133 c,Marshland,Platyhelminthes
Kepler-1330 b,Tundra,Arthropoda
Kepler-1331 b,Boreal,Annelida
Kepler-1332 b,Boreal,Angiospermae
Kepler-1333 b,Scarlet,Mollusca
Kepler-1334 b,Scarlet,Platyhelminthes
Kepler-1335 b,Marshland,Arthropoda
Kepler-1336 b,Marshland,Cnidaria
Kepler-1336 c,Boreal,Cnidaria
Kepler-1337 b,Tropical,Annelida
Kepler-1338 b,Swamp,Cnidaria
Kepler-1339 b,Alpine,Arthropoda
Kepler-134 b,Desert,Pteridophyta
Kepler-134 c,Tropical,Echinodermata
Kepler-1340 b,Desert,Porifera
Kepler-1341 b,Scarlet,Platyhelminthes
Kepler-1342 b,Boreal,Chordata
Kepler-1343 b,Alpine,Platyhelminthes
Kepler-1344 b,Alpine,Angiospermae
Kepler-1345 b,Tundra,Platyhelminthes
Kepler-1346 b,Boreal,Mollusca
Kepler-1347 b,Scarlet,Platyhelminthes
Kepler-1348 b,Tropical,Echinodermata
Kepler-1349 b,Swamp,Pteridophyta
Kepler-135 b,Swamp,Annelida
Kepler-135 c,Alpine,Annelida
Kepler-1350 b,Alpine,Cnidaria
Kepler-1350 c,Tundra,Cnidaria
Kepler-1351 b,Scarlet,Annelida
Kepler-1352 b,Scarlet,Pteridophyta
Kepler-1353 b,Boreal,Echinodermata
Kepler-1354 b,Boreal,Chordata
Kepler-1355 b,Tundra,Angiospermae
Kepler-1356 b,Boreal,Arthropoda
Kepler-1357 b,Tundra,Pteridophyta
Kepler-1358 b,Boreal,Annelida
Kepler-1359 b,Tundra,Nematoda
Kepler-136 b,Scarlet,Echinodermata
Kepler-136 c,Tropical,Cnidaria
Kepler-1360 b,Swamp,Mollusca
Kepler-1361 b,Tropical,Arthropoda
Kepler-1362 b,Alpine,Pteridophyta
Kepler-1363 b,Marshland,Chordata
Kepler-1364 b,Tundra,Bryophyta
Kepler-1365 b,Scarlet,Bryophyta
Kepler-1365 c,Nemoral,Echinodermata
Kepler-1366 b,Alpine,Bryophyta
Kepler-1367 b,Swamp,Platyhelminthes
Kepler-1368 b,Swamp,Bryophyta
Kepler-1369 b,Nemoral,Mollusca
Kepler-137 b,Boreal,Cnidaria
Kepler-137 c,Temperate,Angiospermae
Kepler-1370 b,Nemoral,Chordata
Kepler-1370 c,Desert,Cnidaria
Kepler-1371 b,Scarlet,Annelida
Kepler-1371 c,Swamp,Platyhelminthes
Kepler-1372 b,Boreal,Porifera
Kepler-1373 b,Marshland,Porifera
Kepler-1374 b,Tropical,Platyhelminthes
Kepler-1375 b,Tundra,Porifera
Kepler-1376 b,Desert,Cnidaria
Kepler-1377 b,Swamp,Cnidaria
Kepler-1378 b,Desert,Mollusca
Kepler-1379 b,Scarlet,Nematoda
Kepler-138 b,Nemoral,Platyhelminthes
Kepler-138 c,Scarlet,Bryophyta
Kepler-138 d,Alpine,Mollusca
Kepler-138 e,Tundra,Mollusca
Kepler-1380 b,Temperate,Bryophyta
Kepler-1381 b,Swamp,Nematoda
Kepler-1382 b,Tropical,Mollusca
Kepler-1383 b,Tropical,Cnidaria
Kepler-1384 b,Tundra,Cnidaria
Kepler-1385 b,Scarlet,Angiospermae
Kepler-1386 b,Boreal,Pteridophyta
Kepler-1387 b,Tropical,Echinodermata
Kepler-1388 b,Swamp,Cnidaria
Kepler-1388 c,Alpine,Echinodermata
Kepler-1388 d,Tropical,Mollusca
Kepler-1388 e,Swamp,Arthropoda
Kepler-1389 b,Desert,Annelida
Kepler-139 b,Scarlet,Bryophyta
Kepler-139 c,Boreal,Platyhelminthes
Kepler-139 d,Boreal,Echinodermata
Kepler-139 e,Desert,Echinodermata
Kepler-1390 b,Temperate,Nematoda
Kepler-1391 b,Swamp,Pteridophyta
Kepler-1392 b,Desert,Pteridophyta
Kepler-1393 b,Swamp,Bryophyta
Kepler-1394 b,Tropical,Annelida
Kepler-1395 b,Nemoral,Platyhelminthes
Kepler-1396 b,Desert,Mollusca
Kepler-1397 b,Desert,Arthropoda
Kepler-1398 b,Boreal,Bryophyta
Kepler-1398 c,Desert,Platyhelminthes
Kepler-1399 b,Nemoral,Mollusca
Kepler-14 b,Marshland,Echinodermata
Kepler-140 b,Scarlet,Porifera
Kepler-140 c,Alpine,Porifera
Kepler-1400 b,Tundra,Platyhelminthes
Kepler-1401 b,Desert,Mollusca
Kepler-1402 b,Tundra,Echinodermata
Kepler-1403 b,Marshland,Chordata
Kepler-1404 b,Tundra,Arthropoda
Kepler-1405 b,Temperate,Pteridophyta
Kepler-1406 b,Boreal,Porifera
Kepler-1407 b,Tundra,Angiospermae
Kepler-1408 b,Alpine,Arthropoda
Kepler-1409 b,Marshland,Pteridophyta
Kepler-141 b,Marshland,Annelida
Kepler-141 c,Scarlet,Cnidaria
Kepler-1410 b,Desert,Mollusca
Kepler-1411 b,Marshland,Cnidaria
Kepler-1412 b,Marshland,Bryophyta
Kepler-1413 b,Swamp,Annelida
Kepler-1414 b,Desert,Pteridophyta
Kepler-1415 b,Desert,Arthropoda
Kepler-1416 b,Tropical,Bryophyta
Kepler-1417 b,Tundra,Platyhelminthes
Kepler-1418 b,Temperate,Angiospermae
Kepler-1419 b,Tropical,Annelida
Kepler-142 b,Boreal,Arthropoda
Kepler-142 c,Marshland,Platyhelminthes
Kepler-142 d,Tundra,Annelida
Kepler-1420 b,Tropical,Annelida
Kepler-1421 b,Temperate,Cnidaria
Kepler-1422 b,Boreal,Pteridophyta
Kepler-1423 b,Temperate,Annelida
Kepler-1424 b,Nemoral,Bryophyta
Kepler-1425 b,Scarlet,Porifera
Kepler-1426 b,Boreal,Platyhelminthes
Kepler-1427 b,Desert,Bryophyta
Kepler-1428 b,Swamp,Platyhelminthes
Kepler-1429 b,Alpine,Annelida
Kepler-143 b,Tundra,Echinodermata
Kepler-143 c,Nemoral,Arthropoda
Kepler-1430 b,Desert,Arthropoda
Kepler-1431 b,Alpine,Arthropoda
Kepler-1432 b,Marshland,Pteridophyta
Kepler-1433 b,Scarlet,Arthropoda
Kepler-1434 b,Alpine,Echinodermata
Kepler-1435 b,Desert,Arthropoda
Kepler-1436 b,Marshland,Bryophyta
Kepler-1437 b,Marshland,Annelida
Kepler-1438 b,Alpine,Cnidaria
Kepler-1439 b,Tundra,Annelida
Kepler-144 b,Nemoral,Arthropoda
Kepler-144 c,Boreal,Annelida
Kepler-1440 b,Tundra,Cnidaria
Kepler-1441 b,Marshland,Angiospermae
Kepler-1442 b,Alpine,Angiospermae
Kepler-1443 b,Alpine,Nematoda
Kepler-1444 b,Desert,Arthropoda
Kepler-1445 b,Boreal,Angiospermae
Kepler-1446 b,Scarlet,Arthropoda
Kepler-1447 b,Temperate,Nematoda
Kepler-1448 b,Boreal,Platyhelminthes
Kepler-1449 b,Nemoral,Pteridophyta
Kepler-145 b,Nemoral,Echinodermata
Kepler-145 c,Boreal,Bryophyta
Kepler-1450 b,Swamp,Arthropoda
Kepler-1451 b,Temperate,Mollusca
Kepler-1452 b,Marshland,Annelida
Kepler-1453 b,Desert,Platyhelminthes
Kepler-1454 b,Temperate,Cnidaria
Kepler-1455 b,Tropical,Nematoda
Kepler-1456 b,Boreal,Bryophyta
Kepler-1457 b,Tundra,Echinodermata
Kepler-1458 b,Swamp,Platyhelminthes
Kepler-1459 b,Alpine,Angiospermae
Kepler-146 b,Swamp,Pteridophyta
Kepler-146 c,Scarlet,Platyhelminthes
Kepler-1460 b,Alpine,Echinodermata
Kepler-1461 b,Boreal,Chordata
Kepler-1462 b,Tropical,Arthropoda
Kepler-1463 b,Swamp,Mollusca
Kepler-1464 b,Marshland,Arthropoda
Kepler-1464 c,Tundra,Mollusca
Kepler-1465 b,Tundra,Nematoda
Kepler-1466 b,Marshland,Annelida
Kepler-1467 b,Desert,Arthropoda
Kepler-1468 b,Tropical,Pteridophyta
Kepler-1468 c,Scarlet,Angiospermae
Kepler-1468 d,Marshland,Chordata
Kepler-1469 b,Swamp,Annelida
Kepler-147 b,Alpine,Mollusca
Kepler-147 c,Desert,Pteridophyta
Kepler-1470 b,Scarlet,Platyhelminthes
Kepler-1471 b,Boreal,Mollusca
Kepler-1471 c,Nemoral,Arthropoda
Kepler-1472 b,Marshland,Echinodermata
Kepler-1473 b,Alpine,Mollusca
Kepler-1474 b,Marshland,Pteridophyta
Kepler-1475 b,Marshland,Angiospermae
Kepler-1476 b,Alpine,Cnidaria
Kepler-1477 b,Desert,Echinodermata
Kepler-1478 b,Scarlet,Bryophyta
Kepler-1479 b,Desert,Nematoda
Kepler-148 b,Swamp,Chordata
Kepler-148 c,Tundra,Annelida
Kepler-148 d,Tundra,Platyhelminthes
Kepler-1480 b,Swamp,Annelida
Kepler-1481 b,Scarlet,Pteridophyta
Kepler-1482 b,Alpine,Arthropoda
Kepler-1483 b,Scarlet,Angiospermae
Kepler-1484 b,Temperate,Echinodermata
Kepler-1485 b,Nemoral,Pteridophyta
Kepler-1486 b,Tropical,Chordata
Kepler-1487 b,Marshland,Mollusca
Kepler-1487 c,Tundra,Chordata
Kepler-1488 b,Alpine,Chordata
Kepler-1488 c,Boreal,Pteridophyta
Kepler-1489 b,Desert,Platyhelminthes
Kepler-1489 c,Tundra,Platyhelminthes
Kepler-149 b,Marshland,Chordata
Kepler-149 c,Boreal,Cnidaria
Kepler-149 d,Tundra,Arthropoda
Kepler-1490 b,Scarlet,Nematoda
Kepler-1491 b,Swamp,Bryophyta
Kepler-1491 c,Alpine,Arthropoda
Kepler-1492 b,Swamp,Annelida
Kepler-1493 b,Boreal,Pteridophyta
Kepler-1494 b,Temperate,Platyhelminthes
Kepler-1495 b,Marshland,Echinodermata
Kepler-1496 b,Boreal,Chordata
Kepler-1497 b,Boreal,Platyhelminthes
Kepler-1498 b,Marshland,Mollusca
Kepler-1499 b,Scarlet,Pteridophyta
Kepler-15 b,Alpine,Echinodermata
Kepler-150 b,Tropical,Cnidaria
Kepler-150 c,Boreal,Echinodermata
Kepler-150 d,Tropical,Pteridophyta
Kepler-150 e,Desert,Arthropoda
Kepler-150 f,Temperate,Echinodermata
Kepler-1500 b,Scarlet,Mollusca
Kepler-1501 b,Marshland,Nematoda
Kepler-1502 b,Scarlet,Arthropoda
Kepler-1503 b,Tropical,Pteridophyta
Kepler-1504 b,Desert,Mollusca
Kepler-1505 b,Alpine,Mollusca
Kepler-1506 b,Temperate,Angiospermae
Kepler-1507 b,Swamp,Chordata
Kepler-1508 b,Temperate,Annelida
Kepler-1509 b,Tundra,Angiospermae
Kepler-151 b,Marshland,Cnidaria
Kepler-151 c,Desert,Platyhelminthes
Kepler-1510 b,Scarlet,Annelida
Kepler-1511 b,Alpine,Chordata
Kepler-1512 b,Nemoral,Echinodermata
Kepler-1513 b,Nemoral,Platyhelminthes
Kepler-1513 c,Tundra,Pteridophyta
Kepler-1514 b,Boreal,Pteridophyta
Kepler-1514 c,Boreal,Platyhelminthes
Kepler-1515 b,Tundra,Chordata
Kepler-1516 b,Marshland,Pteridophyta
Kepler-1517 b,Swamp,Annelida
Kepler-1518 b,Boreal,Chordata
Kepler-1518 c,Scarlet,Cnidaria
Kepler-1519 b,Marshland,Cnidaria
Kepler-152 b,Marshland,Cnidaria
Kepler-152 c,Tundra,Porifera
Kepler-1520 b,Marshland,Pteridophyta
Kepler-1521 b,Scarlet,Arthropoda
Kepler-1522 b,Swamp,Chordata
Kepler-1523 b,Desert,Arthropoda
Kepler-1524 b,Marshland,Platyhelminthes
Kepler-1525 b,Swamp,Bryophyta
